"Table 5.3: Key OFF- FARM activities proposed for soil and water conservation in MWS-019","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","479A","Alawaththegama","1. Renovation of natural drains - Elle oya","3","7.133930","80.791615","3.5 km","Clearing and planting some trees along the banks and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - torrent from Gopala(Gedirithi torrent)","4","7.134255","80.791553","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Aldora torrent","1","7.133686","80.788870","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Demada torrent","5","7.132838","80.789925","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","390,000",,,,,,,,,,
"2","479B","Kaluaththanagolla","1. Renovation of natural drains - Kopiwatta torrent","3","7.125111","80.792213","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Nelligahakotuw torrent","1","7.126995","80.797579","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Urakempe torrent (Seasonal Canal/Mala Kandura)","5","7.127188","80.798351","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - torrent from Bomaluwa","1","7.127961","80.79708","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Establishing a retaining - Wadawala primary school","4","7.126377","80.796462","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.25 Years"
,,,"6. Eatablising a retaining - Wadawala primary school","4","7.126377","80.796462","60 m x 3 m","Retaining Wall (Concrete)","6,974,000","By the project","0.25 Years"
"Sub Total","9,536,000",,,,,,,,,,
"3","479","Wadhawala","1. Renovation of natural drains - Warawa torrent","5","7.131546","80.793363","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Pansale torrent","1","7.127104","80.794357","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Establishing a retaining wall - Bulugahamula","4","7.12892","80.793505","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.25 Years"
"Sub Total","2,482,000",,,,,,,,,,
"4","481 A","Bodhimalkada","1. Renovation of natural drains - Anguru torrent","5","7.113422","80.792002","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Meda torrent","1","7.113137","80.791833","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","200,000",,,,,,,,,,
"5","481 B","Deniyagama","1. Renovation of natural drains - Ballan Ella torrent","3","7.114509","80.792811","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - torrent from Rathland tank","1","7.116298","80.788776","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Establishing two side walls (2 x 25 m) - The middle part of Galuke","4","7.114797","80.789393","25 m x 2 m","Retaining Wall (Masonary)","1,100,000","By the project","0.25 Years"
"Sub Total","1,320,000",,,,,,,,,,
"6","481 C","Rathukurusa Janapadaya","1. Renovation of natural drains - Torrent that separate colony no 45 & 46","5","7.113917","80.782611","350 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","35,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent from No 29,28,44.46 Spring","3","7.115902","80.782035","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","85,000",,,,,,,,,,
"7","481","Dehipe","1. Renovation of natural drains - Galpotta torrent","3","7.118944","80.789947","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Meewata Kotte Seasonal Canal","3","7.119866","80.789029","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
