"Table 5.38: Cost estimates and Time frame","","","","","","","","","","","",""
"X","Item","Responsibility","Supervision","Total Cost  LKR","GOSL LA Contr","GOSL LA Contr   LKR","X 1","X 2","X 3","X 4","X 5","X 6"
,"Marketing /Product/ Entrepreneurship Development",,,,,"24","25","26",,,,
"1","Marketing and Development of Agricultural products",,,,,,,,,,,
"1.1","Mapping of value chain and collection/processing centres","LUPO","AD (P)","375000","100%","375000",,,,,,
"1.2","Forming producer associations/Farmer groups","AD (P) /AI/LDI/ EDO","AD (P)","225000","100%","225000",,,,,,
"1.3","MoUs with Line Agencies","DS","DS","375000","75%","281250",,,,,,
"1.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","375000","75%","281250",,,,,,
"1.5","Packaging and Branding",,,,,,,,,,,
"1.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"1.5.2","Contracts with the private sector for branding","AD (P) /Firms","AD (P)","375000","25%","93750",,,,,,
"1.6","Monitoring & Evaluation","AD (P)","AD (P)",,,,,,,,,
"2","Market Linkage Development",,,,,,,,,,,
"2.1","Briefing session on contracts/agreements with LA/PP","AD (P) /LA/PP","AD (P)",,,,,,,,,
"2.2","Promote MWS products/services with existing websites","AD (P) /LA/PP","AD (P)",,,,,,,,,
"2.3","Creating E-market links for products/services","AD (P) /LA/PP","AD (P)",,,,,,,,,
"2.4","Develop Database and marketing information system","AD (P)","AD (P)","750000","100%","750000",,,,,,
"2.5","Participation in regional trade and consumer fairs","AD (P) /LA","AD (P)","2250000","50%","1125000",,,,,,
"2.6","Link producers to financial institutions","AD (P) /LA","DS","112500","100%","112500",,,,,,
"2.7","Register youth on existing job sites","HRDO","AD (P)","75000","75%","56250",,,,,,
"2.8","Monitoring & Evaluation","MWMC","AD (P)",,,,,,,,,
"3","Infrastructure Development",,,,,,,,,,,
"3.1","Identify sites for economic hubs and sales centres","DS/AD (P) / MDMWPC","DS","150000","100%","150000",,,,,,
"3.2","Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)","DS/AD (P)","DS","7500000","100%","7500000",,,,,,
"3.3","Identify farmer clusters","MWPC","AD (P)",,,,,,,,,
"3.4","Refurbish polytunnels for seed nurseries","AI/LDI/EDO","AD (P)","7500000","50%","3750000",,,,,,
"3.5","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
"4","Marketing and Development of Non-agricultural products",,,,,,,,,,,
"4.1","Mapping of value chain and collection/processing centres","LUPO","AD (P)","375000","100%","375000",,,,,,
"4.2","Forming producer associations","AD (P) /EDO","AD (P)","225000","50%","112500",,,,,,
"4.3","MoUs with Line Agencies","DS","DS",,,,,,,,,
"4.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","375000","100%","375000",,,,,,
"4.5","Packaging and Branding",,,,,,,,,,,
"4.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"4.5.2","Contracts with the private sector for branding","DS/Firms","DS","375000","25%","93750",,,,,,
"4.6","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
"5","Tourism Development",,,,,,,,,,,
"5.1","MoUs with Line Agencies","DS","DS",,,,,,,,,
"5.2","Promote MWS tourism on existing websites","DS/AD (P)","DS",,,,,,,,,
"5.3","Agreements with private sector firms","AD (P)","AD (P)","750000","50%","375000",,,,,,
"5.4","Tourism infrastructure Development","DS/AD (P) / MDMWPC","DS","5000000","100%","500000",,,,,,
"5.5","Monitoring & Evaluation","DS","DS",,,,,,,,,
,,,,"27162500",,"16531250",,,,,,
