"Table 5.4: Details of Reported landslides in MWS-019","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates N or X E or Y","NBRO Recommendation","Proposed Measures","NA"
"1","479A","Alawaththegama",,"No special issues reported",,,
"2","479B","Kaluattanagolla","Breaking down the wall near the hall close to the sports ground - Wadawala primary school","7.126377","80.796462","Needs NBRO concern","Establishing a retaining/side wall (20 m x 3 m x 0.5 m)"
,,,"Collapse of the embankment in the sports ground - Wadawala primary school","7.126377","80.796462","Needs NBRO concern","Establishing a retaining/side wall (60 m x 5 m x 0.5 m)"
"3","479","Wadawala","Collapse of the bank wall behind the paddy field - Bulugahamula","7.12892","80.793505","Needs NBRO concern","Establishing a side/retaining wall (20 m x 4 m x 0.5 m)"
"4","481 A","Bodhimalkada","Landsliding - Naayawaththa","7.113635","80.793191","NBRO is aware","Resettle the families living in the land slide prone area and tree planting in the landslide prone lands."
"5","481 B","Deniyagama","Damage to surrounding houses from water flow coming from the outer canal - The middle part of Galuke","7.114797","80.789393","Needs NBRO concern","Establishing two side walls (25 m x 1.5 m 0.5 m)"
,,,"Landslides of banks in both sides - Ballan Ella Kandura","7.113963","80.790374","Needs NBRO concern","An area of 16 feet needs to be conserved and areca nut, Kithul, and Kumbuk need to be planted"
"6","481 C","Rathukurusa Janapadaya","No special issues reported",,,,
"7","481","Dehipe","No special issues reported",,,,
"8","481 D","Welapahala","No special issues reported",,,,
"9","482","Denike",,,,,
"10","482 A","Udalumada","Landslides - Welampagoda temple","7.133699","80.783999","Needs NBRO concern","Remove the unstable boulders and apply suitable soil conservation methods"
,,,"Landslides of hills - Near T.G. Wimaladasa's house","7.131206","80.784051","Needs NBRO concern","Minimize the slope and establishing a wall (12 m x 3 m x 0.5 m)"
"11","482 B","Welampagoda","On rainy days, the water coming through the road erodes the land and flows down through the houses - Denike junction","7.134308","80.787164","Needs NBRO concern","Establishing a wall (10 m x 2.5 m x 0.5 m) and directing water into kandura through drainage system"
"12","482 C","Udawela Pathana","Soil relief with irrigation canal from main road - Buwella","7.141601","80.779634","Needs NBRO concern","Establishing a wall (13 m x 4 m x 0.5 m) and developing the kandura near and growing plants along the banks (Arecanut, grasses etc.)"
"13","483 A","Ehelamalpe","Damaging houses due to soils coming with water flow from the hill tops - Godagama","7.125369","80.784547","NBRO is aware","Improve the vegetation cover at hill tops by planting suitable trees"
"14","483","Wilwala","Landslide of the embankment - Infront of Wilwala Dingiri Bandas's house","7.123724","80.789563","NBRO is aware","Establishing 8 walls (6 m x 3 m x 0.5 m)"
,,,"Landslide of embankment below field - Wilwala playground","7.125125","80.788862","Needs NBRO concern","Establishing a wall (13 m x 3 m x 0.5 m)"
,,,"Road erosion - Agri road of the Upper part of Wilwala","7.124721","80.787898","Needs NBRO concern","Establishing a side wall (30 m x 4 m x 0.5 m)"
"15","484 C","Palle Makuruppa","Erosion of embankment - Near Health Office","7.138392","80.796449","Needs NBRO concern","Establishing a wall (20 m x 4 m x 0.5 m)"
,,,"Excessive soil erosion - Sujatha Pre School","7.1372326","80.7966055","Needs NBRO concern","Establishing a wall (30 m x 2 m x 0.5 m)"
"16","484 A","Bogamuwa",,"No special issues reported",,,
"17","484 B","Uda Makuruppa","Landslide - Illaketiya School","7.145447","80.787156","Needs NBRO concern","Establishing a side/retaining wall (40 m x 5 m x 0.5 m)"
"18","484","Pallewela","No special issues reported",,,,
