"Table 5.6: Salient details of three tanks, Dehigolla Wewa, Udawela Pathna Wewa and Rathland Wewa","","",""
"Tank Name","Dehigolla Wewa","Uduwela Pathana Wewa","Rathland Wewa"
"GN","Dehipe","Udawela Pathana","Wilwala"
"MWS","019","019","019"
"DS","Mathurata","Mathurata","Mathurata"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD","DAD"
"Construction",,,
"Location (Lat, Lon)","7.115079N, 80.785961E","7.14115N, 80.78189 E","7.122562N, 80.784029E"
"Agro-Ecological zone",,,
"Water Surface Area (approx.) (ha)","2","0.05","0.6"
"Tank capacity (m3)",,,
"Catchment Area (gross) (km2)",,,
"Total command area (ha)","20","5","18"
"Farm Organisation",,,
"F.O. registration number",,,
"Reservations are available or not",,,
"Reservations are marked or not",,,
,,,
"Bund","Earthen",,"Earthen"
"Bund Length (m)","80","40","120"
"Top width (m)","3-4","3","3"
"Visible bund height (m)","10","5","6"
"US & DS slopes (h/b)","1 on 2","1 on 1","1 on 2"
"Availability of rip rap","Partially",,
,,,
"Spillway",,,
"Station (km+m)","0+50","LB",
"Type","Morning glory",,"Natural"
"Length (m)","3 x 3","1","6"
"Observed Afflux (m)","0.3",,"0.3"
"Duration of spilling (days)",,,
,,,
"Sluices",,,
"No of Sluices (nos)","1","No","1"
"Station/s (km+m)","0+50",,"0+05"
"Type/s","Tower",,"HP"
"Barrel size/s (mm)","450",,"300"
"Command area of the sluice (ha)","20",,
,,,
"Observations / Damages","De-silting, reservation development.","De-silting, Tank rehabilitation","Desilting and rehabilitation"
"Recommendation","De-silting, reservation development.","Desilting, repairs to sluice and spill and reservation development.","Desilting, repairs to sluice and reservation development"
