"Table 5.60: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"paddy yaya development program","Supply of parachute Trays",,"2,500","80","200,000","75%","150,000"
,"Supply of certified seed paddy (bu)",,"5","4200","21,000","100%","21,000"
,"Soil testing",,"10","290","2,900","100%","2,900"
,"Supply of Bio films (1 Liter) Bottles",,"10","900","9,000","100%","9,000"
,"supply of Cruiser as seed Treatments",,"5","900","4,500","100%","4,500"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence",,"50","7500","375,000","75%","281,250"
,"Supply of Electric fence",,"20","40,000","800,000","75%","600,000"
,"Supply of Water Pumps (Robin)",,"5","70,000","350,000","75%","262,500"
,"Supply of Brush Cutters",,"5","30,000","150,000","75%","112,500"
,"Supply of Knapsac Sprayers (16L)",,"2","30,000","60,000","75%","45,000"
"Improvement of Cultivation practices of Bitter gourd","Soil testing",,"7","290","2,030","100%","2,030"
,"supply of Plant covers (0.8\"x200m",,"20","15000","300,000","100%","300,000"
,"supply of fruit covers",,"35","2400","84,000","100%","84,000"
,"Supply of Insect Proof nets (3mx50m)",,"21","30,000","630,000","75%","472,500"
,"supply of Cruiser as seed Treatments (5g Packs)",,"10","900","9,000","100%","9,000"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000","100%","25,000"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000","100%","10,000"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000","100%","20,000"
"Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)","Supply of chili hybrid seeds (MICH hy 1)",,"500g","130,000","65,000","100%","65,000"
,"Supply of Seedling trays with 72 holes",,"100","150","15,000","100%","15,000"
,"sprinkler irrigation system for 1/4 ac Demonstration",,"1","100,000","100,000","75%","75,000"
,"Supply of Poly mulch roles (1.2m*400m)",,"2","20,000","40,000","100%","40,000"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000","100%","30,000"
,"Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches",,"10","12,000","120,000","100%","120,000"
,"Supply of Insect Proof nets (3mx50m)",,"30","30,000","900,000","75%","675,000"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000","100%","20,000"
"Improvement of Cultivation Practices of Bean (10 Farmers with 1/4 ac)","Introduction of new Bean variety Kekulu / HoRDI Pokuru Supply Quality Seeds) kg",,"50","2,500","125,000","100%","125,000"
,"supply of Cruiser as seed Treatments (5g Packs)",,"50","900","45,000","100%","45,000"
,"Supply of Rhizobium Inoculum 100g packs",,"50","400","20,000","100%","20,000"
,"Supply of Insect Proof nets (3mx50m)",,"12","30,000","360,000","75%","270,000"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000","100%","25,000"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000","100%","10,000"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000","100%","20,000"
"Improvement of Cultivation practices of Cabbage (10 Farmers with 1/4 ac)","Soil testing",,"10","290","2,900","100%","2,900"
,"Supply of Quality seeds (Variety Volcano or Oxilus)",,"250g","250,000","62,500","100%","62,500"
,"Supply of Neem (400ml bottles)",,"20","750","15,000","100%","15,000"
"Export Crops","Coffee","Deniyagama-300,Wilwala-200,Alawattegama- 100,Denike-200,Welapahala-200,Kaluattanagolla- 200,Pallewela1-300,Udawela Pathana-100, Udalumada- 200,Palle Makuruppa- 200,Rathukurusa Janapadaya- 200, Wadawala- 300","2,500","30","75,000","1","75,000"
,"Pepper","Deniyagama-300,Wilwala-200,Alawattegama- 300,Denike-200,Welapahala-200,Kaluattanagolla- 200,Pallewela1-300,Udawela Pathana-300, Udalumada- 200,Palle Makuruppa- 200,Rathukurusa Janapadaya- 200, Wadawala- 300","2,900","40","116,000","1","116,000"
,"Areca nut","Deniyagama-100,Denike-100,Welapahala-150,Kaluattanagolla- 150,Pallewela1-100,Udawela Pathana- 100,Udalumada- 100,Wadawala- 150Uda Makuruppa- 200","1,150","130","149,500","1","149,500"
,"Ginger","Deniyagama-100,Wilwala-100,Alawattegama- 100,Denike-100,Welapahala-200,Kaluattanagolla- 100,Pallewela1-100,Udawela Pathana-200, Udalumada- 100,Palle Makuruppa- 100,Rathukurusa Janapadaya- 100, Wadawala- 200",,"18","-","1","-"
"Livestock","No of cow","Deniyagama-2,Wilwala-2,Alawattegama- 1,Denike-2,Welapahala-2,Kaluattanagolla- 2,Pallewela1-2,Udawela Pathana-1, Udalumada- 2,Palle Makuruppa- 1,Rathukurusa Janapadaya- 2, Wadawala- 1","20","250,000","5,000,000","0.50","2,500,000"
,"No of  goat","Deniyagama- 10, Alawattegama - 1, Welapahala- 5","16","40,000","640,000","0.50","320,000"
,"No of chicks","Deniyagama-50,Alawattegama- 50,Denike-50,Welapahala-10,Kaluattanagolla- 50,Pallewela1-50,Udawela Pathana-40, Udalumada- 60,Palle Makuruppa- 50,Rathukurusa Janapadaya- 50, Dehipe-25, Welampagoda- 35","520","1,500","780,000","0.50","390,000"
,"No of sheds - cow","Deniyagama-4,Alawattegama- 2,Denike-4,Welapahala-5,Kaluattanagolla- 4,Pallewela1-3,Udawela Pathana-4, Udalumada- 3,Palle Makuruppa- 2,Rathukurusa Janapadaya- 3,Wadawala- 2","36","300,000","10,800,000","0.50","5,400,000"
,"No of sheds - goat","Deniyagama-5, Wilwala-3, Kaluattanagolla-2",,"150,000","-","0.50","-"
"Protected Agriculture","Polytunnel","Denike- 2, Kaluattanagolla- 2, Pallewela1-2, Uda Wela Pathana- 2, Udalumada-3, Wadawala-3, Welampagoda-1, Uda Makuruppa-2","17","700,000","11,900,000","0.50","5,950,000"
"Value added products","Bee keeping (Box 4000/= bees)","Deniyagama-10, Denike-1,Welapahala- 5,Kaluattanagolla-2,Udawela Pathana- 5,Udalumada- 5,Wadawala-9","37","8,000","296,000","0.75","222,000"
