"Table 5.8: Salient details of tanks, Kumbukwala Wewa, Nikaulpatha Wewa and Illaketiya Wewa","","","",""
"Tank Name","Kumbukwala Wewa","Nika Ulpatha Wewa","Gonanwatta Ihala Wewa","NA"
,,,,
"GN","Bodhiwela","Bodhiwela","Denike",
"MWS","MWS-019","MWS-019","MWS-19",
"DS","Mathurata","Mathurata","Mathurata",
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya",
"Ownership","DAD","DAD","DAD",
"Construction",,,,
"Location (Lat, Lon)","7.127949 N, 80.814605 E","7.132097 N","7.141116 N",
,,"80.806323 E","80.787393 E",
"Agro-Ecological zone",,,,
"Water Surface Area (approx.) (ha)","0.03","0.015",,
"Tank capacity (m3)",,,,
"Catchment Area (gross) (km2)",,,,
"Total command area (ha)","28","30","42",
"Farm Organisation","BODIWELA RATHMET GOVISANVIDANAYA","BODIWELA RATHMET GOVISANVIDANAYA",,
"F.O. registration number","DAD/6/10/3","DAD/6/10/3",,
"Reservations are available or not","Yes","Yes","No",
"Reservations are marked or not","No","No","No",
,,,,
"Bund","Earthen","Earthen and Concrete","Earthen",
"Bund Length (m)","40",,"50",
"Top width (m)","2","1.5","2",
"Visible bund height (m)","3","5","4",
"US & DS slopes (h/b)","1 on 2",,"1 on 2",
"Availability of rip rap",,,,
,,,,
"Spillway",,,,
"Station (km+m)","0+010",,,
"Type","Culvert","CO",,
"Length (m)","0.5",,,
"Observed Afflux (m)","0.3",,,
"Duration of spilling (days)","Perennial",,,
,,,,
"Sluices",,,,
"No of Sluices (nos)","1",,,
"Station/s (km+m)",,,,
"Type/s","HW",,,
"Barrel size/s (mm)","150",,,
"Command area of the sluice (ha)","11.33","12",,
,,,,
"Observations / Damages","Desilting and reservation development","Desilting and repairs to sluice",,
,"Sluice barrel damaged",,,
"Recommendation","Desilting, tank bund repairs and sluice repairs with vegetative improvement of reservations","The tank needs desilting and repairs to tank components.",,
