"Table 5.9: Salient details of tanks, Nikathenna, Illaketiya and Dewale Wewa","",""
"Tank Name","Gonanwatta Pahala Wewa","Mahapitiya"
"GN","Denike","Denike"
"MWS","MWS-019","MWS-019"
"DS","Mathurata","Mathurata"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD"
"Construction",,
"Location (Lat, Lon)","7.14962 N, 80.80464 E","7.14111 N, 80.78739 E"
"Agro-Ecological zone",,
"Water Surface Area (approx.) (ha)",,
"Tank capacity (m3)",,
"Catchment Area (gross) (km2)",,
"Total command area (ha)",,
"Farm Organisation",,
"F.O. registration number",,
"Reservations are available or not",,
"Reservations are marked or not",,"No"
,,
"Bund","Earthen","Earthen"
"Bund Length (m)",,"50"
"Top width (m)",,"2"
"Visible bund height (m)",,"4"
"US & DS slopes (h/b)",,
"Availability of rip rap",,"No"
,,
"Spillway",,
"Station (km+m)",,
"Type",,
"Length (m)",,
"Observed Afflux (m)",,
"Duration of spilling (days)",,
,,
"Sluices",,
"No of Sluices (nos)",,
"Station/s (km+m)",,
"Type/s",,
"Barrel size/s (mm)",,
"Command area of the sluice (ha)",,"8"
,,
"Observations / Damages",,
"Recommendation","Desilting and repairs","Desilting and reservation development."
