No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project) ",Time frame for the implementation
1,479A,Alawattegama,1. Renovation of natural drains - Elle Oya,3,Off,7.13393,80.791615,3.5 km,Clearing and planting some trees along the banks and other conservation practices,,"350,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,479A,Alawattegama,"2. Renovation of natural drains - torrent from Gopala
 (Gedirithi torrent) ",4,Off,7.134255,80.791553,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
3,479A,Alawattegama,3. Renovation of natural drains - Aldora torrent,1,Off,7.133686,80.78887,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
4,479A,Alawattegama,4. Renovation of natural drains - Demada torrent,5,Off,7.132838,80.789925,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
5,479A,Alawattegama,5. Soil conservation practices - Alawattegama Huri Wela (50°),3,On,7.135089,80.792228,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
6,479A,Alawattegama,6. Soil conservation practices - Huri Wela (80°),1,On,7.134465,80.792597,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
7,479A,Alawattegama,7. Soil conservation practices - Alawattegama (85°),1,On,7.134401,80.793121,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",6515000,Labour and other basic services by the Local community/ Shramadana,0.25 Years
8,479B,Kaluattanagolla,1. Renovation of natural drains - Kopiwatta torrent,3,Off,7.125111,80.792213,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,479B,Kaluattanagolla,2. Renovation of natural drains - Nelligahakotuw torrent,1,Off,7.126995,80.797579,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
10,479B,Kaluattanagolla,3. Renovation of natural drains - Urakempe torrent (Seasonal Canal/Mala Kandura),5,Off,7.127188,80.798351,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
