Tank name,N,E,Tentative Estimate (LKR) 
Dehigolla Wewa,7.115079,80.785961,"638,000"
Uduwela Pathana Wewa,7.141659,80.781828,"776,000"
Rathland Wewa,7.122562,80.784029,"1,200,000"
Nikathenna Wewa,7.134434,80.805781,"361,000"
Illaketiya Wewa,7.144085,80.788898,"542,400"
Dewale Wewa,7.14298,80.79618,"421,000"
Kumbukwala Wewa,7.127949,80.814605,"450,000"
Nikaulpatha Wewa,7.132097,80.806323,"420,000"
Gonanwatta Ihala Wewa,7.15345,80.80336,"800,000"
Gonanwatta Pahala Wewa,7.14962,80.80464,"640,000"
Mahapitiya Wewa,7.14111,80.78739,"650,600"
Total,,,"6,899,000"
