No,GND No.,Name and location of the spring,Location N,Location E,Observed problems,Description,Amount (LKR) 
1,479A,Paragehelle Well,7.134353,80.793,"A reservation is not allocated, the tank is dilapidated and cannot be used.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceConstruction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Providing PVC pipes, pipe joints, etc. to convey water ","112,900"
2,479A,Eldora Public Well,7.133686,80.78887,Leakages in the tank.,"1/2"" thick 1:3 cement mortar plastering to prevent leakages in lining
Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","87,900"
3,479B,Koopiwaththe Ulpatha,7.125115,80.801615," The spring shall be covered (L- 3m, W-3m) using a net
A concrete wall required to be constructed (H-1.8m, W-3m, L-3m, t-0.3m)
 A reservation area (W-4.8m) need to be allocated As a stripe The tank required to be uplifted (H-1.2 m) and Tank shall be covered (L-3m, W-1.8m) using a covering net","Providing a net to cover the spring to prevent dirt falling into the spring 
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
1:3:6 (1 1/2"") Cement concrete, hand mixing and placing","141,000"
4,479B,Algena Water Spring,7.123261,80.793159,No Cover The embankments near the spring is dilapidated,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) ","110,700"
5,479B,Spring near Urakatipe Canal,7.127423,80.799115,The sword water mixed with the spring water and spring storage is not enough,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","49,500"
6,479,Panwatta Spring,7.12848,80.794036,Side walls are dilapidated of the spring ,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
1/2"" thick 1:3 cement mortar plastering to prevent leakages in lining
Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Providing PVC pipes, pipe joints, etc. to convey water ","251,000"
7,479,Bomaluwa Spring,7.12829,80.794964,Leakages in the tank.,"Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m) 
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","169,200"
8,481 A,Nayawatta ,7.113453,80.794083,"Not mentioned the boundaries for reservation
No tanks
Leakages of the spring tank","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","648,700"
9,481 A,Gallinda Chena,7.111682,80.795719,"Not to mention the boundaries for reservation
Leakages of the spring tank","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling
Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","317,900"
10,481 B,Thennewatta Spring,7.113556,80.787585,No Tank for stock water,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
Implementation of Water Treatment Plant
Providing PVC pipes, pipe joints, etc. to convey water ","565,000"
