Tank name,Custodianship,N,E,Remarks
Dehigolla Wewa,DAD,7.115079,80.785961," Desilting, rehabilitation of tank."
Uduwela Pathana Wewa,DAD,7.141659,80.781828,Desilting of the tank. Repairs to sluice.
Rathland (Wilwala) Wewa,DAD,7.122562,80.784029,Desilting of the tank. Repairs to sluice.
Nikathenna Wewa,DAD,7.134434,80.805781,Desilting and development of reservation.
Illaketiya Wewa ,DAD,7.144085,80.788898,Desilting. Rehabilitation of reservation.
Dewale Wewa,DAD,7.14298,80.79618,Desilting. Rehabilitation of reservation.
Kumbukwala Wewa,DAD,7.127949,80.814605,Desilting of the tank 
Nikaulpatha tank,DAD,7.132097,80.806323,Desilting of the tank
Gonanwatta Ihala tank,DAD,7.15345,80.80336,Desilting and repairs
Gonanwatta Pahala tank,DAD,7.14962,80.80464,Desilting and repairs 
Mahapitiya tank,DAD,7.14111,80.78739,Desilting and reservation protection.
