Type,Items Needed,GNDs Requested,Number,Unit Cost (LKR) ,Total Cost (LKR) ,Contribution from LA / GoSL,Final cost to LA/ GoSL (LKR) 
 Paddy ,Tray ,"Alawattegama- 120, Denike-1600, Welapahala-1500, Kaluattanagolla-1000, Pallewela1-600, Udawela Pathana-1500, Udalumada-1000, Rathukurusa Janapadaya-115, Dehipe-1000, Wadawala-500, Welampagoda-800, Uda Makuruppa-800","10,835",80,"866,800",0.5,"433,400"
,Electric fence ,"Alawattegama- 15, Denike-15, Welapahala-13, Rathukurusa Janapadaya-5, Dehipe-10, Welampagoda-12, Uda Makuruppa-10 ",80,"36,000","2,880,000",0.5,"1,440,000"
 Vegetable ,Capsicum ,"Alawattegama- 20, Denike-10, Welapahala-15, Kaluattanagolla-10, Pallewela1-10, Udawela Pathana-15, Udalumada-10 Rathukurusa Janapadaya-15, Dehipe-10, Wadawala-15, Welampagoda-10, Uda Makuruppa-10",150,"40/perches unit - 20g. 3,000 ","450,000",1,"450,000"
,Cabbage ,"Alawattegama- 10, Denike-10, Welapahala-15, Kaluattanagolla-10, Pallewela1-10, Udawela Pathana-15, Udalumada-10, Rathukurusa Janapadaya-15, Dehipe-10, Wadawala-10, Welampagoda-10, Uda Makuruppa-10",135,"40/perches unit - 20g. 6,000 ","810,000",1,"810,000"
,Green chili ," Alawattegama- 10, Denike-10, Welapahala-15, Kaluattanagolla-10, Pallewela1-6, Udawela Pathana-15,",117,"40/perches unit - 50g. 1,500 ","175,500",1,"175,500"
,,"Udalumada-10, Rathukurusa Janapadaya-10, Dehipe-10, Wadawala-5, Welampagoda-8 Uda Makuruppa-8",,,,,
, Beans ,"Alawattegama- 5, Denike-5, Welapahala-5, Kaluattanagolla-5, Pallewela1-5, Udawela Pathana-10, Udalumada-10, Rathukurusa Janapadaya-5, Dehipe-10, Wadawala-5, Welampagoda-5, Uda Makuruppa-10",80,"40/perches unit - 1500g. 4,500 ","360,000",1,"360,000"
 Fruits , Banana ,"Deniyagama - 100, Wilwala- 100, Denike-50, Welapahala-100, Pallewela1-150, Udawela Pathana- 100, Udalumada- 100, Rathukurusa, Janapadaya-100, Dehipe-100, Welampagoda-100, Uda Makuruppa-100 ","1,100",120,"132,000",1,"132,000"
, Avocado ,"Deniyagama- 100, Welapahala- 50, Udawela Pathana- 80, Rathukurusa Janapadaya- 100, Dehipe- 100 ",430,200,"86,000",1,"86,000"
, Mango ,"Deniyagama-120, Denike-100, Welapahala-128, Kaluattanagolla- 140, Pallewela1-120, Udawela Pathana- 120, Udalumada- 100, Wadawala- 50","1,278",300,"383,400",1,"383,400"
,,Uda Makuruppa- 400 ,,,,,
, Papaya ,"Deniyagama- 200, Welapahala- 100, Udawela Pathana- 120 ",420,100,"42,000",1,"42,000"
 Export Crops , Coffee ,"Deniyagama-300, Wilwala-200, Alawattegama- 100, Denike-200, Welapahala-200, Kaluattanagolla- 200, Pallewela1-300, Udawela Pathana-100, Udalumada- 200, Palle Makuruppa- 200, Rathukurusa Janapadaya- 200, Wadawala- 300 ","2,500",30,"75,000",1,"75,000"
