"Table 5.14: Estimate of water source protection-related activities","","","","","",""
"GND No","Name and location of the spring","Location N","Location E","Observed problems","Description","Amount  LKR"
"484 E","Madiththa vila","7.140888","80.820919","The absence of boundary markers in the reserve and the leakage of water from the tank","Construction of 1.5m high x 0.15m thick RCC wall (0.8m base)","344,890"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",
"491","Bambaragalla spring","7.155004","80.821207","The portion of land (by the spring) handed over to the Divisional Secretary does not have marked boundaries.The original landowner is opposing the use of water.","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","910,260"
,,,,,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,"Illagola","7.15228","80.823322","The spring is filled with sludge. It is opened to the environment","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","730,210"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 A","spring near Jambugaha","7.147189","80.815022","The spring tank is not functioning well. The water is accumulating in the nearby torrent.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","873,600"
,,,,,"Providing PVC pipes, pipe joints, etc. to convey water to the school",
,,,,,"Construction of leader drain across streams -1m(W)x1m(H)",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Total","2,858,960"
