"Table 5.20: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the Torrent  Stream","Location N","Location E","Current status","Description","Amount  LKR"
"484 E","Meti walagawa torrent","7.132048","80.806066","Soil erosion","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","127,530"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"484 E","Ulpatha Asala","7.140879","80.82092","Erosion of the embankment on both sides","Construction of leader drain across streams -1m(W)x1m(H)","171,210"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484 E","Kumbukwela torrent","7.128334","80.815108","Erosion of the embankment on both sides","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","127,530"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"484 E","Lolugaha torrent","7.130988","80.818202","Erosion of the embankment on both sides","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","127,530"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"484 E","Alakola-madiththa torrent","7.130104","80.816644","Erosion of the embankment on both sides","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","88,660"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"491 D","Dead torrent right side of Happawara wewa","7.16431","80.83316","Soil erosion of lands on both sides","Construction of 1.2m high RR masonry wall (with section 0.60 x 0.60, 0.45 x 0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 Menet motar and back filling","1,012,310"
,,,,,"Stream / canal reservation protection by earthfilling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 D","Beliul oya","7.1715549","80.84244","Soil erosion of lands on both sides","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","255,190"
,,,,,"Stream / canal reservation protection by earthfilling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
"491 D","Galaseeya torrent 1","7.1717079","80.834428","Soil erosion of lands on both sides","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","127,530"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
