"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-020-1","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","484 E","Bodhiwela","1. Renovation of natural drains - Meti walagawa torrent","4","7.132048","80.806066","2 Km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Ulpatha Asala","5","7.140879","80.82092","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Kumbukwela torrent","4","7.128334","80.815108","2.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","230,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Lolugaha torrent","5","7.130988","80.818202","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Alakolamadiththa torrent","3","7.130104","80.816644","1.2 Km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","690,000",,,,,,,,,,
"2","491 D","Happawara","1. Renovation of natural drains - Dead torrent/Mala Kandura rightside of the Happawara wewa","1","7.16431","80.83316","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Beliul oya","1","7.1715549","80.842440","1 km","Clearing and planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Galaseeya torrent 1","5","7.1717079","80.834428","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Galaseeya by torrent","4","7.171648","80.835481","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Galaseeya torrent 2","5","7.173262","80.837025","1.5km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Galaseeya torrent 3","5","7.1717","80.835387","100m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","640,000",,,,,,,,,,
"3","491","Illagolla","1. Renovation of natural drains - Bambaragalla torrent","3","7.154755","80.82071","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
