"Table 5.6: Salient features of Happawara Wewa, UnapanduraYaya Wewa and Yakkawana Wewa","","",""
"Tank Name","Happawara tank","Una Pandura Yaya tank","Yakkawana tank"
"GN","Happawara","Moragolla","Rammal Kandura"
"MWS","MWS-020-1","MWS-020-1","MWS-020-1"
"DS","Mathurata","Mathurata","Mathurata"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD","DAD"
"Construction",,,
"Location (Lat, Lon)","7.163357 N
80.832766 E","7.148885 N, 80.818444 E","7.14594 N, 
80.8285 E"
"Agro-Ecological zone",,,
"Water Surface Area (approx.) (ha)","0.22",,"0.14"
"Tank capacity (m3)",,,
"Catchment Area (gross) (km2)",,,
"Total command area (ha)","2.8","4.8","23"
"Farm Organisation","HAPPAWARA GOVISANVIDANAYA","Mahasen FO","Ranmala Kandura Eksath"
"F.O. registration number","DAD/06/11/24",,
"Reservations are available or not","Yes","Yes","Yes"
"Reservations are marked or not",,"No",
,,,
"Bund","Earthen","Earthen","Earthen"
"Bund Length (m)","130",,"45"
"Top width (m)","2",,"3"
"Visible bund height (m)","5",,"7"
"US & DS slopes (h/b)","1on 2",,
"Availability of rip rap",,,
,,,
"Spillway",,,
"Station (km+m)","0+00",,
"Type","CO",,"CO"
"Length (m)","3",,"3"
"Observed Afflux (m)","300",,"300"
"Duration of spilling (days)","60 days",,"90"
,,,
"Sluices",,,
"No of Sluices (nos)","2",,"1"
"Station/s (km+m)","0+1000  and 0+1",,"0+40"
"Type/s","HW",,"HW"
"Barrel size/s (mm)","225",,"225"
"Command area of the sluice (ha)","2.8",,
,,,
"Observations / Damages","Desilting and repairs to tank","De silting required","Desilting and Tree planting"
"Recommendation","Desilting and repairs to the tank bund and vegetative improvements to the reservation.","De-silting and minor repairs with reservation development.","De-silting and reservation development."
