"Table 5.7: Salient features of Mukalan Yaya Wewa and Amunukura Wewa","",""
"Tank Name","Mukalan Yaya tank","Amunukura tank"
"GN","Rammala Kandura","Moragolla"
"MWS","MWS-020-1","MWS-020-1"
"DS","Mathurata","Mathurata"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD"
"Construction",,
"Location (Lat, Lon)","7.14619N, 80.82465E","7.14869 N, 80.81379 E"
"Agro-Ecological zone",,
"Water Surface Area (approx.) (ha)",,"0.08"
"Tank capacity (m3)",,
"Catchment Area (gross) (km2)",,
"Total command area (ha)","14",
"Farm Organisation",,"Mahasen FO"
"F.O. registration number",,
"Reservations are available or not",,
"Reservations are marked or not",,
,,
"Bund","Earthen","Earthen and Concrete"
"Bund Length (m)",,"60"
"Top width (m)",,"2"
"Visible bund height (m)",,"3"
"US & DS slopes (h/b)",,
"Availability of rip rap",,
,,
"Spillway",,"Rock boulders"
"Station (km+m)","RB",
"Type","CO","CO"
"Length (m)",,"5"
"Observed Afflux (m)",,"0.3"
"Duration of spilling (days)",,"40-60"
,,
"Sluices",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)",,"0+40"
"Type/s","HP","HW"
"Barrel size/s (mm)","225","225"
"Command area of the sluice (ha)","14",
,,
"Observations / Damages",,"Sluice gate repair 
Desilting
Reservation development"
"Recommendation","Construction of a new tank","De-silting, sluice repairs and reservation development."
