"Table 2.1: Administrative details of MWS-020-2","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 020 2  ha","X  Area belongs to MWS 020 2","Remarks"
"1","484D","Dimbulkumbura","195.0","78.1","40.1%",
"2","492","Diya – Udagama*","243.0","0.6","0.2%","Included in MWS-012"
"3","492B","Dodamkumbura*","200.5","0.5","0.2%","Included in MWS-012"
"4","491B","Endiribedda","418.1","418.1","100.0%",
"5","489E","Galauda North*","242.4","110.3","45.5%","Included in MWS-014"
"6","489","Galauda South*","101.2","7.9","7.8%","Included in MWS-014"
"7","488B","Hilpenkandura*","455.8","86.7","19.0%","Included in MWS-014"
"8",,"Serasunthenna*","2563.6","0.00001","0.0000004%","Included in a separate MWS in Walapane DS Division"
"9","489B","Uda Galauda","122.5","118.8","97.0%",
"10","489C","Udakanda*","198.5","94.1","47.4%","Included in MWS-014"
