"Table 5.29: Cost estimates and Time frame","","","","","","","","","","","",""
"X","Item","Responsibility","Supervision","Total Cost  LKR","GOSL LA Contr","GOSL LA Contr   LKR","X 1","X 2","X 3","X 4","X 5","X 6"
,"Marketing /Product/ Entrepreneurship Development",,,,,"24","25","26",,,,
"1","Marketing and Development of Agricultural products",,,,,,,,,,,
"1.1","Mapping of value chain and collection/processing centres","LUPO","AD (P)","75000","100%","75000",,,,,,
"1.2","Forming producer associations/Farmer groups","AD (P)/ AI/LDI/ EDO","AD (P)","45000","100%","45000",,,,,,
"1.3","MoUs with Line Agencies","DS","DS","75000","75%","56250",,,,,,
"1.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","75000","75%","56250",,,,,,
"1.5","Packaging and Branding",,,,,,,,,,,
"1.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"1.5.2","Contracts with the private sector for branding","AD (P)/Firms","AD (P)","75000","25%","18750",,,,,,
"1.6","Monitoring & Evaluation","AD (P)","AD (P)",,,,,,,,,
"2","Market Linkage Development",,,,,,,,,,,
"2.1","Briefing session on contracts/agreements with LA/PP","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.2","Promote MWS products/services with existing websites","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.3","Creating E-market links for products/services","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.4","Develop Database and marketing information system","AD (P)","AD (P)","150000","100%","150000",,,,,,
"2.5","Participation in regional trade and consumer fairs","AD (P)/LA","AD (P)","450000","50%","225000",,,,,,
"2.6","Link producers to financial institutions","AD (P)/LA","DS","22500","100%","22500",,,,,,
"2.7","Register youth on existing job sites","HRDO","AD (P)","15000","75%","11250",,,,,,
"2.8","Monitoring & Evaluation","MWMC","AD (P)",,,,,,,,,
"3","Infrastructure Development",,,,,,,,,,,
"3.1","Identify sites for economic hubs and sales centres","DS/AD (P)/ MDMWPC","DS","30000","100%","30000",,,,,,
"3.2","Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)","DS/AD (P)","DS","1500000","100%","1500000",,,,,,
"3.3","Identify farmer clusters","MWPC","AD (P)","0",,"0",,,,,,
"3.4","Refurbish polytunnels for seed nurseries","AI/LDI/EDO","AD (P)","1500000","50%","750000",,,,,,
"3.5","Monitoring & Evaluation","MWPC","AD (P)","0",,"0",,,,,,
"4","Marketing and Development of Non-agricultural products",,"0",,,,,,,,,
"4.1","Mapping of value chain and collection/processing Centres","LUPO","AD (P)","75000","100%","75000",,,,,,
"4.2","Forming producer associations","AD (P)/EDO","AD (P)","45000","50%","22500",,,,,,
"4.3","MoUs with Line Agencies","DS","DS","0",,"0",,,,,,
"4.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","75000","100%","75000",,,,,,
"4.5","Packaging and Branding",,,"0",,"0",,,,,,
"4.5.1","Agreement with IDB for branding","IDB","AD (P)","0",,"0",,,,,,
"4.5.2","Contracts with the private sector for branding","DS/Firms","DS","75000","25%","18750",,,,,,
"4.6","Monitoring & Evaluation","MWPC","AD (P)","0",,"0",,,,,,
"5","Tourism Development",,,"0",,"0",,,,,,
"5.1","MoUs with Line Agencies","DS","DS","0",,"0",,,,,,
"5.2","Promote MWS tourism on existing websites","DS/AD (P)","DS","0",,"0",,,,,,
"5.3","Agreements with private sector firms","AD (P)","AD (P)","150000","50%","75000",,,,,,
"5.4","Tourism infrastructure Development","DS/AD (P)/ MDMWPC","DS","200000","100%","200000",,,,,,
"5.5","Monitoring & Evaluation","MWMC","AD (P)",,,,,,,,,
,,,,"4632500",,"3406250",,,,,,
