"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-020-2","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,
"1","484D","Dimbulkumbura","1. Renovation of natural drains - Koothaiwatta minor stream","5","Off","7.146668","80.802837","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Penanwatta minor stream","51","Off","7.1496397.14998","80.80466580.804543","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Maha Kandura waterfall","1","Off","7.143906","80.80164","2.4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","240,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","500,000",,,,,,,,,,,
"2","491B","Endiribedda","1. Renovation of natural drains - Minor stream 1","5","Off","7.180426","80.83377","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Andiribedda stream","5","Off","7.180426","80.83377","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Ulpath yaaya minor stream","5","Off","7.180768","80.83306","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Mala minor stream","5","Off","7.182407","80.831907","1.8 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Paradeyya Kewula minor stream","2","Off","7.179788","80.836212","1.8 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","650,000",,,,,,,,,,,
"3","489B","Uda Galauda","1. Renovation of natural drains - Iluk Kumbura minor stream","1","Off","7.157853","80.814831","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Ketan minor stream","1","Off","7.154829","80.820065","3.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","310,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Constructing a retaining wall - Ihala Gedara","2","Off","7.161266","80.811379","6 m x 2 m","Retaining Wall (Masonary)","264,000","By the project","0.5 Years"
,,,"4. Constructing a retaining wall - Uda Galauda Vidyalaya","3","Off","7.163117","80.815629","50 m x 3 m","Retaining Wall (Concrete)","5,813,500","By the project","0.5 Years"
"Sub Total","6,737,500",,,,,,,,,,,
,,,,,,,,,"Grand Total","7,887,500",,
