"Table 5.6: Salient details of first and second tanks in MWS-020-2","",""
"Tank Name","Hekatuwa Wewa","Kondatenna Wewa"
"GN","Moragolla","Uda Galauda"
"MWS","020-2","020-2"
"DS","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD"
"Construction","Before 2000","Before 2000"
"Location (Lat)","7.150099","7.15692"
"Location ( Lon)","80.81193","80.81054"
"Agro-Ecological zone","IM1","IM1"
"Water Surface Area (approx.) (ha)","0.8","0.7"
"Tank capacity (m3)","<Null>","<Null>"
"Catchment Area (gross) (km2)","<Null>","<Null>"
"Total command area (ha)","<Null>","48"
"Farm Organisation","Mahasen FO","Uda gala uda FO"
"F.O. registration number","<Null>","<Null>"
"Reservations are available or not","Yes","Road (but up stream forest)"
"Reservations are marked or not","Yes","No"
,,
"Bund","Earthen","<Null>"
"Bund Length (m)","120","250"
"Top width (m)","4","4"
"Visible bund height (m)","8","10"
"US & DS slopes (h/b)","<Null>","1:02:05"
"Availability of rip rap","<Null>","Part"
,,
"Spillway","Concrete","MG Natural (HL)"
"Station (km+m)","LB end","0+200 0+250"
"Type","CO","MG Natural"
"Length (m)","10m","3.05*3.05 6.1"
"Observed Afflux (m)","0.2","0.1 50"
"Duration of spilling (days)","180 (DS drops)","<Null>"
,,
"Sluices","<Null>","<Null>"
"No of Sluices (nos)","1","1"
"Station/s (km+m)","HW","Tower"
"Type/s","225","0+200"
"Barrel size/s (mm)","<Null>","225"
"Command area of the sluice (ha)","<Null>","50-60"
,,
"Observations / Damages","<Null>","<Null>"
"Recommendation","Sluice replacement, Spill raise by 300mm","Seepage mitigation of bund, Desilting an area of 2500 sqm and 1.2m deep. 
Reforestation belt.
Periodic removal of Yodha Nidhikumba plant (Mimosa pigra)"
