No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,484D,Dimbulkumbura,1. Renovation of natural drains - Koothaiwatta minor stream,5,Off,7.146668,80.802837,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
2,484D,Dimbulkumbura,2. Renovation of natural drains - Penanwatta minor stream,5,Off,7.149639,80.804665,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
3,484D,Dimbulkumbura,,1,,7.14998,80.804543,,,,,,,
4,484D,Dimbulkumbura,3. Renovation of natural drains - Maha Kandura waterfall,1,Off,7.143906,80.80164,2.4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"240,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
5,484D,Dimbulkumbura,4. Soil conservation practices - Bastiyawatta (70°),3,On,7.146628,80.797033,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
6,484D,Dimbulkumbura,5. Soil conservation practices - Bastiyawatta (65°),4,On,7.146524,80.797446,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.25 Years
7,484D,Dimbulkumbura,6. Soil conservation practices - Henkumbura (70°),1,On,7.144563,80.799711,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
8,484D,Dimbulkumbura,7. Soil conservation practices – Dimbul kumbura (85°),4,On,7.14291,80.802956,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.25 Years
9,484D,Dimbulkumbura,8. Soil conservation practices - Pennagoda (55°),,On,,,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00","6,500,000.00",Labour and other basic services by the Local community,0.25 Years
10,491B,Endiribedda,1. Renovation of natural drains - Minor stream 1,5,Off,7.180426,80.83377,800 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
