"Table 6.1: Key activities proposed for soil and water conservation in MWS-021-1","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","504 A","Binganthalawa","1. Renovation of natural drains - Kurundu Oya Start","5","Off","7.056677","80.854615","1 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Galpotta Pathana Stream",,"Off","7.052622","80.86358","1 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Binganthalawa (50˚ - 60˚)",,"On","7.056677","80.854615","3 ha","Live fencing/SALT and/or Stone terracing/lock and spills, as applied","250.00 m-1","750,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Stream bank conservation - Side walls",,"Off","7.056677","80.854615","4 m x 1 m x 1000 m","Side wall","2,000.00 m-3","8,000,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Soil conservation practices - Sagalapura, Binganthalawa (50˚ - 60˚)",,"On","7.049303","80.859964","4 ha","Live fencing/SALT and/or Stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","9,950,000.00",,,,,,,,,,,,
"2","504 B","High forest","1. Renovation of natural drains - Kurundu Oya",,"Off","7.06437","80.840366","2 km","Clearing and planting some trees along the banks and other conservation practices",,"200,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Stream near No. 14",,"Off","7.057693","80.844145","2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"200,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Cultivated Lands  (50˚ - 70˚)",,"On","7.059641","80.844534","1.5 ha","Live fencing/SALT and/or Stone terracing/lock and spills, as applied","250.00 m-1","375,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","775,000.00",,,,,,,,,,,,
"3","504 D","High forest Watta","1. Soil conservation practices - High forest No. 1 Spring (Up side of bungalow) (60˚ - 70˚)",,"On","7.0533","80.82512","0.1 ha","Planting Areca nut, kumbuk  trees to border the reserve of the spring.",,"20,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Soil conservation practices - High forest No. 2 Spring (near Murugan Kovil) (40˚ - 50˚)",,"On","7.06804","80.82974","0.1 ha","Planting of Areca nut, kumbuk  trees to border the reserve of the spring.",,"20,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - High forest No. 1 Spring (Canal from Mahakudugala Bridge)",,"Off","7.05441","80.82719","5 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"500,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - 3 A Kandura",,"Off","7.05224","80.82748","2.5 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"250,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","790,000.00",,,,,,,,,,,,
"4","533 I","Mahakudugala","1. Renovation of natural drains - Kalukele Ela ( Located in Reserve)",,"Off","7.042231","80.829634","5 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"500,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Vegetables Cultivated Lands (50˚ - 60˚)",,"On","7.041775","80.829175","60 ha","Live fencing/SALT and/or Stone terracing/lock and spills, as applied","250.00 m-1","15,000,000.00","Labor and other basic services by the Local community","2 Years"
"Sub Total","15,500,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"27,015,000.00",,
