"Table 6.4: Salient features of tanks in MWS-021-1","",""
"Tank Name","Binganthalawa Galpoththa","Gamsabha Wewa"
"GN","Binganthalawa","High Forest Waththa"
"MWS","MWS-021-1","MWS-021-1"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD"
"Construction",,
"Location (Lat, Lon)","7.049501 N, 80.861091 E","7.06808 N, 80.82943 E"
"Agro-Ecological zone",,
"Water Surface Area (approx.) (ha)","1.25","0.1"
"Tank capacity (m3)",,
"Catchment Area (gross) (km2)",,
"Total command area (ha)","64",
"Farm Organisation",,
"F.O. registration number",,
"Reservations are available or not.","No","Yes"
"Reservations are marked or not.","No","Yes"
,,
"Bund","Earthen (proposed)","Earthen"
"Bund Length (m)","30","29"
"Top width (m)","3","2.9"
"Visible bund height (m)","5","2.1"
"US & DS slopes (h/b)",,"1 on 2"
"Availability of rip rap",,"no"
,,
"Spillway",,
"Station (km+m)",,
"Type","CO","Natural"
"Length (m)","30","3"
"Observed Afflux (m)","0.3",
"Duration of spilling (days)",,
,,
"Sluices",,
"No of Sluices (nos)","1",
"Station/s (km+m)","0+10","0+15"
"Type/s","Head Wall","Head Wall"
"Barrel size/s (mm)","225","225"
"Command area of the sluice (ha)","64",
,,
"Observations / Damages","A tank had been there but silted and abandoned.","It is necessary to rehabilitate the tank, and the bund height needs to be increased by 0.5 m. Desilting of the tank is needed."
"Recommendation","Proposed to construct an earthen bund with a toe wall at the upstream face.",
