"Table 6.47: Contents of the agriculture productivity improvement training","","","","","","",""
"Type","X Items Needed","X GNDs Requested","Number","X Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Binganthalawa 200, Mahakudugala 150","350","80.00","28,000.00","0.50","14,000.00"
"Vegetable","Capsicum","Highforest-5, High forest watta- 3, Binganthalawa 10, Mahakudugala 5","23","40/perches unit - 20g. 3,000.00","69,000.00","1.00","69,000.00"
,"Green chili","Highforest-5, High forest watta-3, Binganthalawa 5, Mahakudugala 5","18","40/perches unit - 50g. 1,500.00","27,000.00","1.00","27,000.00"
,"Tomato","Highforest-5, High forest watta3, Binganthalawa 5, Mahakudugala 6","19","40/perches unit - 10g. 6,000.00","114,000.00","1.00","114,000.00"
"Fruits","Banana","Highforest-60, High forest watta 40, Binganthalawa 50, Mahakudugala 60","210","120.00","60,000.00","1.00","60,000.00"
"-","Avocado","Highforest-10, High forest watta 20, Binganthalawa 50, Mahakudugala 45","125","200.00","300,000.00","1.00","300,000.00"
"Export Crops","Coffee","Highforest-200, High forest watta-100, Binganthalawa 200, Mahakudugala 150","650","30.00","19,500.00","1.00","19,500.00"
,"Areca nut","Highforest-200, High forest watta-150, Binganthalawa 100, Mahakudugala 150","600","40.00","24,000.00","1.00","24,000.00"
,"Pepper","Highforest-200, High forest watta-150, Binganthalawa 250, Mahakudugala 350","950","40.00","38,000.00","1.00","38,000.00"
"Livestock","No of cow","Highforest-5, High forest watta-5","10","250,000.00","2,500,000.00","0.50","1,250,000.00"
,"No of  goat","Highforest-6, High forest watta-10","16","40,000.00","640,000.00","0.50","320,000.00"
,"No of chicks","Highforest-100, High forest watta- 50","150","1,500.00","225,000.00","0.50","112,500.00"
,"No of sheds - cow","Highforest-5, High forest watta-4","9","300,000.00","2,700,000.00","0.50","1,350,000.00"
,"No of sheds - goat","Highforest-3, High forest watta-5","8","150,000.00","1,200,000.00","0.50","600,000.00"
"Protected Agriculture","Polytunnel","High forest- 3","3","700,000.00","2,100,000.00","0.50","1,050,000.00"
"Value added products","Bee keeping (Box 4000/= bees)","Highforest-5, High forest watta-5, Binganthalawa 5, Mahakudugala 5","20","8,000.00","160,000.00","0.75","120,000.00"
"Total Cost",,,,,"10,204,500.00",,"5,468,000.00"
