"Table 6.6: Tentative cost estimate for the improvements to Binganthalawa GalpoththaTank","","","","",""
"SI","Description","Unit","Qty","Rate","Amount  Rs"
"1","Stripping top soil to depth up to 150mm","m2","720","38.00","27,360.00"
"2","Cutting trench/ canal by Excavator (120) and disposing earth beside","m3","132","464.00","61,248.00"
,"Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -CH Filling","m3","514.8","1,272.00","654,825.60"
"3","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km)","m3","1699.2","1,272.00","2,161,382.40"
"4","Turfing to new earth including cutting, laying, pegging and watering","m2","167.7","422.00","70,769.40"
"5","Construction of Spill","Item","Allow","Sum","500,000.00"
"6","Construction of HW type Sluice with 225mm Dia gate in full set, 225mm Dia RCC Hume Pipes and a Passarella with hand rails","Item","Allow","Sum","500,000.00"
"7","Construction of 1:3:6 (1 1/2\") concrete retaining wall (height 2.1m, top width 0.25m, 0.70m high steps x 03, each of 0.15m step width & bottom width 0.70m)","m","30","32,000.00","960,000.00"
"8","Miscellaneous",,,,"34,414.60"
,"Total",,,,"4,970,000.00"
