"Table 5.32: Cost estimates","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Wellagiriya- 400","400","80.00","32,000.00","0.50","16,000.00"
,"Electric fence","Wellagiriya- 2","2","36,000.00","72,000.00","0.50","36,000.00"
"Vegetable","Capsicum","Wellagiriya- 10","10","40/perches unit - 20g. 3,000.00","30,000.00","1.00","30,000.00"
,"Cabbage","Wellagiriya- 5","5","40/perches unit - 20g. 6,000.00","7,500.00","1.00","7,500.00"
,"Green chili","Wellagiriya- 10","10","40/perches unit - 50g. 1,500.00","15,000.00","1.00","15,000.00"
,"Beans","Wellagiriya- 5","5","40/perches unit - 1500g. 4,500.00","22,500.00","1.00","22,500.00"
,"Tomato","Wellagiriya- 5","5","40/perches unit - 10g. 6,000.00","30,000.00","1.00","30,000.00"
"Fruits","Banana","Wellagiriya - 25","25","120.00","3,000.00","1.00","3,000.00"
,"Avocado","Wellagiriya- 25","25","200.00","5,000.00","1.00","5,000.00"
,"Mango","Wellagiriya- 20","20","300.00","6,000.00","1.00","6,000.00"
"Export Crops","Coffee","Wellagiriya- 500","500","30.00","15,000.00","1.00","15,000.00"
,"Pepper","Wellagiriya- 400","400","40.00","16,000.00","1.00","16,000.00"
"Animal husbandry","No of chicks","Wellagiriya- 200","200","1,500.00","300,000.00","0.50","150,000.00"
"Value added products","Bee keeping Box with bees","Wellagiriya- 15","15","8,000.00","120,000.00","0.75","90,000.00"
,"Black Pepper making machines","Wellagiriya- 2","2","10,000.00","20,000.00","0.50","10,000.00"
"Total Cost",,,,,"694,000.00",,"452,000.00"
