"Table 5.6: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount"
"512","Heenatiwela Canal","7.076001","80.790928","•The canal is dilapidated, and seepages occur (L- 1km) towards the field side.","Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking","1523373"
,,,,,"Stream / canal reservation protection by earth filling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512","Canal flows to Lunugala Digaredda (ලුණුගල දිග රෙද්දට යන ඇල)","7.075784","80.790494","•The capacity of the canal is insufficient to distribute water.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide  and 0.3m high canal -double banking","1221448"
,,,,,"Stream / canal reservation protection by earth filling of strip   of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting  single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512","Canal flows to Digaredda Kotumulla","7.075784","80.790494","•The capacity of the canal is insufficient to distribute water.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1221449"
,,,,,"Stream / canal reservation protection by earth filling of strip   of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512","Maha Ela","7.07286","80.789998","•Erosion of the canal. (60º)","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","551070"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512","Meda Ela of Udaarawa","7.072667","80.790755","•Seepages towards the field side.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","610723"
,,,,,"Stream / canal reservation protection by earth filling of strip   of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512","Naaya Ela of Viharakumbura Ihala","7.072157","80.790728","•The canal is blocked due to silting. (400m)","Removing silt from canal bed depth up to 9\"-18\"","718900"
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Total","5,846,960"
