·         Common name,·         Species,·         Family,·         Users ,·         Suitable area
·         Hana,·         Furcraea foetida /Agave sp.,·         Aspagaraceae,·         Fiber/ Fire Prevention,·         Open ground/ Fire prone area
·         Heen Bovitiya,·         Osbeckia sp.,·         Melastomataceae,·         Medicinal Dry Leves tea,·         Grasslands rocky area
·         Maliththan,·         Woodfordia fruticosa,·         Lythraceae,·         Medicinal,·         Grasslands rocky area/ banks
·         Beeriya,·         Litsea ovalifolia,·         Lauraceae,·         Wood/,·         Forest gardens/ Initial restorations process
,,,·         firewood,
·         Kudu daula,·         Neolitsea fuscata,·         Lauraceae,·         Wood/,·         Forest gardens/ Initial restorations process
,·          ,,·         firewood,
·         Ketamilla,·         Dovyalis hebecarpa,·         Salicaceae,·         Fruit,·         Forest gardens/ Initial restorations process/ Grasslands
·         Daru haridra,·         Berberis spp.,·         Berberidaceae,·         Stem Medicinal,·         Fire belts grasslands /pioneer stage restoration above 1200m
,·          ,,,
·         Kenda,·         Macaranga spp.,·         Euphorbiaceae,·         Pioneer spp. for restoration,·         For restoration sites / Cardamom plantations outside of forests
,·          ,,,
·         Bu kenda,·         Mallotus,·         ,·         Pioneer spp. for restoration,·         For restoration sites / Cardamom plantations outside of forests
,·         spp.,Euphorbiaceae,,
,,·          ,,
·         Maha  Rathmal,·         Rhododendron arboreum,·         Ericaceae,·         Medicinal ornamental,·         Grassland/fire-prone area above 1400m
·         Bora ,·         Ligustrum robustum,·         Oleaceae,·         Medicinal/ Restoration intermediate stage/ wood,·         Below 1500m
·         Wana Sapu,·         Magnolia nilagirica,·         Magnoliaceae,·          ,·          
·         Wana Idala,·         Wendlandia bicuspidata,·         Rubiaceae,·         Medicinal/ Restoration Pioneer ,·         Below 1500m
·         Toona,·         Toona ciliata,·         Meliaceae,"·         Nurse tree-Restoration, animal repellent / Wood",·         Below 1500m
