"Table 3.1: Administrative details of MWS-022-1","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 022 1  ha","X  Area belongs to MWS 022 1","Remarks"
"1","533N","Ragala Watta","320.0","283.1","88.48%",
"2","533J","Ekangapura","294.6","293.3","99.58%",
"3","533O","Brookside","741.3","529.1","71.37%",
"4","534F","Concordia*","725.9","0.00002","0.000002%","Included in MWS-022-2 of Nuwara Eliya"
"5","533","Ragala*","41.1","25.5","62.04%","Included in MWS-023"
"6","533M","St. Leonard*","396.4","12.6","3.17%","Included in MWS-023"
"7","533C","Rathnayakapura*","394.8","112.8","28.57%","Included in MWS-023"
"8","533A","Samagipura*","149.2","3.5","2.34%","Included in MWS-023"
"9","533I","Mahakudugala*","490.8","22.8","4.65%","Included in MWS-021-1"
