"Table 6.13: Estimates for water source protection-related proposals in MWS-022-1","","","","","",""
"GND No","Area","N","E","Observed problems","Description","Amount  Rs"
"533N","Ragala Lower Division","7.022147","80.859919","There are 4 tanks that were built about 50 years ago and are currently I dilapidated condition. Currently, about 300 families use water irregularly using pipes. There are tea plantations around the area where the spring is located. Trees can be planted around the spring in an area of about 4 perches.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance  Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc. to convey water from tank","588,500.00"
"533N","Ragala M.D","7.009612","80.846013","It was built by EU-SRILANKA Project about 2 years ago but is currently not in use due to a water leak in the tank. After the tank is renovated, it will be able to provide water to about 300 families.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance1/2\" thk rough plastering in 1: 3 cement mortarConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","582,537.50"
"533O","Silver Kandy","7.025775","80.84373","There is a 2.7m long, 2.2m wide and 1.9m high water storage tank that was built. About 300 families obtain water for drinking and other household needs.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProtective net over the storage tank","58,623.42"
"533O","Glendevon             Field No. 7","7.03014","80.84991","A tank with a 750mm Ø has been built at the location of the spring. It has a cover on it and the tank is in good condition. An additional water storage tank also has been built and is in a completely dilapidated condition. About 320 families obtain water for drinking and other household needs.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","561,750.00"
"533O","Mahakudugala Forest","7.04152","80.83396","There is a 3.8m long, 2.7m wide and 2.5m high water storage tank that was built. About 246 families obtain water for drinking and other household needs. A project in good condition, Water management needs to be streamlined.","_",
"533O","Concodia Field No. 5","7.01055","80.8292","There is a 3.3m long, 3.3m wide and 1.9m high water storage tank that was built and It is in good condition. About 26 families obtain water for drinking and other household needs.","Providing PVC pipes, pipe joints, etc. to convey water from tank","15,000.00"
"533O","Brook Side (Near Check point)","7.019","80.83507","There is a 1.6m long, 1.2m wide and 0.45m high water tank that was built and is in a completely dilapidated condition. An additional water storage tank also has been built and is in good condition. About 340 families obtain water for drinking and other household needs.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProtective net over the storage tank","576,750.00"
"533O","Silver Kandy","7.025775","80.84373","There is a 2.7m long, 2.2m wide and 1.9m high water storage tank that was built. About 300 families obtain water for drinking and other household needs.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProtective net over the storage tank","58623.42"
"533 O","Concodia","7.01011","80.83108","An area with line houses where about 26 families live.","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order","115,000.00"
,,,,"Total",,"2,556,784.34"
