"Table 6.27: Deforestation and degradation drivers in the MWS-022-1","","",""
"Family","Species","Endemicity","Status"
"Araceae","Rhaphidophora decursiva","N","CR"
"Cyatheaceae","Sphaeropteris crinita","N","EN"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
"Oxalidaceae","Biophytum proliferum","N","LC"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Orchidaceae","Dendrobium heterocarpum","N","EN"
"Loranthaceae","Dendrophthoe suborbicularis","E","EN"
"Gentianaceae","Exacum macranthum","E","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
