"Table 6.4: Salient features of tanks in MWS-022-1",""
"Tank Name","St  John s Lake"
"GN","Brook side"
"MWS","MWS-022-1"
"DS","Walapane"
"District","Nuwara Eliya"
"Ownership","DAD"
"Construction",
"Location (Lat, Lon)","7.02112 N, 80.82755 E"
"Agro-Ecological zone",
"Water Surface Area (approx.) (ha)","0.38"
"Tank capacity (m3)",
"Catchment Area (gross) (km2)",
"Total command area (ha)",
"Farm Organisation",
"F.O. registration number",
"Reservations are available or not.","Yes"
"Reservations are marked or not.","Yes"
,
"Bund","RRM Wall"
"Bund Length (m)","25"
"Top width (m)","1"
"Visible bund height (m)",
"US & DS slopes (h/b)",
"Availability of rip rap",
,
"Spillway",
"Station (km+m)","LB end"
"Type","CO"
"Length (m)","1"
"Observed Afflux (m)",
"Duration of spilling (days)",
,
"Sluices",
"No of Sluices (nos)",
"Station/s (km+m)",
"Type/s",
"Barrel size/s (mm)",
"Command area of the sluice (ha)","12"
,
"Observations / Damages","The tank is silted. The RRM wall is damaged. There is no sluice."
"Recommendation",
