"Table 6.44: Contents of the agriculture productivity improvement training","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     Project","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Ekangapura 200","200","80.00","16,000.00","0.50","8,000.00"
"Vegetable","Capsicum","Ragala watta 10 Ekangapura 8 Brookside 3","21","40/perches unit - 20g. 3,000.00","63,000.00","1.00","63,000.00"
,"Green chili","Ragala watta, 4 Ekangapura3 Brookside 4","11","40/perches unit - 50g. 1,500.00","16,500.00","1.00","16,500.00"
,"Tomato","Ragala watta 5 Ekangapura 5 Brookside 6","16","40/perches unit - 10g. 6,000.00","96,000.00","1.00","96,000.00"
"Fruits","Avocado","Ragala watta 40 Ekangapura 80, Brookside 30","150","200.00","30,000.00","1.00","30,000.00"
,"Mango","Ragala watta 10, Ekangapura 25 Brookside 20","55","300.00","16,500.00","1.00","16,500.00"
"Export Crops","Coffee","Ragala watta,200 Ekangapura 250 Brookside 150","600","30.00","18,000.00","1.00","18,000.00"
,"Areca nut","Ragala watta 100 Ekangapura 150 Brookside 90","340","40.00","13,600.00","1.00","13,600.00"
,"Pepper","Ragala watta 200 Ekangapura 250 Brookside 150","600","40.00","24,000.00","1.00","24,000.00"
"Livestock","No of cow","Ragala watta 2 Ekangapura 3 Brookside 2","7","250,000.00","1,750,000.00","0.50","875,000.00"
,"No of  goat","Ragala watta 2 Ekangapura 3 Brookside 2","7","40,000.00","280,000.00","0.50","140,000.00"
,"No of chicks","Ragala watta, 25 Ekangapura 50 Brookside 30","105","1,500.00","157,500.00","0.50","78,750.00"
,"No of sheds - cow","Ragala watta,1 Ekangapura 1 Brookside 1","3","300,000.00","900,000.00","0.50","450,000.00"
,"No of sheds - goat","Ragala watta 1 Ekangapura 2 Brookside 1","4","150,000.00","600,000.00","0.50","300,000.00"
"Protected Agriculture","Polytunnel","Ekangapura 1","1","700,000.00","700,000.00","0.50","350,000.00"
"Value added products","Bee keeping (Box 4000/= bees)","Ragala watta 5 Ekangapura 7 Brookside 3","15","8,000.00","120,000.00","0.75","90,000.00"
"Total Cost",,,,,"4,801,100.00",,"2569350.00"
