"Table 6.20: Details related to water pollution in MWS-023 belong to the Walapane DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Number of Toilets Needed","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","529","Manthreethenna","No special issues reported",,,,,,,,,,,
"2","529A","Pandithaya Kumbura","No special issues reported",,,,,,,,,,,
"3","533","Ragala","No special issues reported",,,,,,,,,,,
"4","533A","Samagipura","Potential to adding human waste - Medawatta Market Street",,,"10",,,,,,,,
,,,"Improper disposal of domestic waste - Medawatta Village",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"5","533B","Senarathpura","Improper disposal of domestic waste - Medawatta Village",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","533C","Rathnayakapura","Improper disposal of domestic waste - Halgran Oya",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness program on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"7","533M","St. Leonard","Potential to adding human waste - Medawatta Market Street",,,"15",,,,,,,,
"Grand Total","150,000.00",,,,,,,,,,,,,
