"Table 6.22: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Description","N","E","Observed problems","Description 1","Amount  Rs"
"529A","Polwatte Kandura","7.03017","80.88679","During the rainy season when too much water flows, Bank erosion occurs","9\" thk flat Rubble paving in 1:6 Cement mortarVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","304,250.00"
,,,,,,
,,,,,,
"533","Herathpura Canal","7.007704","80.85827","Flowing through vegetable fields. Bank erosion has occurred due to the cultivation of vegetables  on the banks of the stream. Large trees cannot be planted due to vegetables are cultivated on both sides of the stream.","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceBoulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","385,675.00"
,,,,,,
"533","Stream of Staford Division","7.017615","80.8629","Flowing through vegetable fields. Bank erosion has occurred due to the cultivation of vegetables  on the banks of the stream. Large trees cannot be planted due to vegetables are cultivated on both sides of the stream. In some places, Concrete wall have been built along the banks of the stream.","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceBoulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","1,285,675.00"
,,,,,,
,,,,,,
"533A","Samagipura Middle of Village ( Diyagala)","6.989786","80.86078","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance9\" thk flat Rubble paving in 1:6 Cement mortar","322,025.00"
"533A","Samagipura East of Village ( Diyagala)","6.987388","80.86137","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance9\" thk flat Rubble paving in 1:6 Cement mortar","223,850.00"
