"Table 6.4: Details Salient features of minor tanks in MWS-023","",""
"Tank Name","Garandi Wewa","Theppu Kulama Wewa"
"GN","Manthreethenna","Senarathpura"
"MWS","MWS-023","MWS-023"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction",,
"Location (Lat)","7.03053","7.006735"
"Location (Lon)","80.87932","80.878417"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","1.3",
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)","20",
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not",,
"Reservations are marked or not",,
"Bund","Earthen","Earthen with toe wall in the upstream"
"Bund Length (m)","100","40"
"Top width (m)","3","1.5"
"Visible bund height (m)","5","6"
"US & DS slopes (h/b)",,
"Availability of rip rap","no",
"Station (km+m)",,
"Type","CO","CO"
"Length (m)","1.5","4.0"
"Observed Afflux (m)",,
"Duration of spilling (days)",,
"No of Sluices (nos)","1","2"
"Station/s (km+m)",,
"Type/s","HW","HW"
"Barrel size/s (mm)","300","450"
"command area of the sluice (ha)","20",
"Rectification Details","Rehabilitation of tank bund, Reconstruction of head wall type new sluice. Desilting of tank bed and Inland fish farming, Planting 50m width tree belt in US reservation of the tank.","Rehabilitation of tank bund, Reconstruction of head wall type new sluice. Desilting of tank bed and Renovation of spill and toe wall"
