"Table 6.41: Total estimated cost of production for the three-year period","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"533","Ragala","2","2","1","2","1","1"
"529","Manthreethenna","1.5","2","1","1.5","1","1"
"533C","Rathnayakapura","2","1.5","1","1.5","1","1"
"533B","Senarathpura","1","1","0.5","1","0.5","2"
"533A","Samagipura","2","1.5","1.5","2","1.5","1"
"529A","Pandithaya Kumbura","1","1","1.5","1","0.5","2"
"533M","St. Leonard","1.5","2","1","1.5","1","1"
,"Total","11","11","7.5","10.5","6.5","9"
