"Table 6.48: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Senarathpura 200 Samagipura 250 Pandithaya Kumbura 300","750","80.00","60,000.00","0.50","30,000.00"
,"Electric fence","Senarathpura 5 Samagipura 7 Pandithaya Kumbura10","22","36,000.00","792,000.00","0.50","396,000.00"
"Vegetable","Capsicum","Ragala, Manthreetenne, Senarathpura, Samagipura, Pandithaya Kumbura, St. Leonard","30","40/perches unit - 20g. 3,000.00","90,000.00","1.00","90,000.00"
,"Green chili","Ragala, Manthreetenne, Senarathpura, Samagipura, Pandithaya Kumbura, St. Leonard","40","40/perches unit - 50g. 1,500.00","60,000.00","1.00","60,000.00"
,"Beans","Ragala, Manthreetenne, Senarathpura, Samagipura, Pandithaya Kumbura, St. Leonard","30","40/perches unit - 1500g. 4,500.00","135,000.00","1.00","135,000.00"
,"Tomato","Ragala, Manthreetenne, Senarathpura, Samagipura, Pandithaya Kumbura, St. Leonard","25","40/perches unit - 10g. 6,000.00","15,000.00","1.00","15,000.00"
"Fruits","Banana","Pandithaya kumbura- 150","150","120.00","18,000.00","1.00","18,000.00"
,"Avocado","Pandithaya kumbura- 75,Senarathpura- 50","125","200.00","25,000.00","1.00","25,000.00"
,"Mango","Ragala, Manthreetenne, Senarathpura, Samagipura, Pandithaya Kumbura, St. Leonard",,"300.00","-","1.00","-"
,"Pears","Senarathpura- 100","100","400.00","40,000.00","1.00","40,000.00"
"Export Crops","Coffee","Ragala 300 Manthreetenne 250 Senarathpura300 Samagipura 200 Pandithaya Kumbura150 St. Leonard 100","1,300","30.00","39,000.00","1.00","39,000.00"
,"Pepper","Ragala 200 Manthreetenne 350 Senarathpura300 Samagipura 200 Pandithaya Kumbura100 St. Leonard 100","1,100","40.00","44,000.00","1.00","44,000.00"
,"Areca nut","Ragala 200 Manthreete 200 Senarathpura 300 Samagipura 200 Pandithaya Kumbura150 St. Leonard 100","1,150","40.00","46,000.00","1.00","46,000.00"
"Livestock","No of cow","Pandithaya kumbura-5,Senarathpura- 5","10","250,000.00","2,500,000.00","0.50","1,250,000.00"
,"No of chicks","Senarathpura- 100","100","1,500.00","150,000.00","0.50","75,000.00"
,"No of sheds - cow","Pandithaya kumbura- 5","5","300,000.00","1,500,000.00","0.50","750,000.00"
,"No of sheds - goat","Senarathpura-3","3","150,000.00","450,000.00","0.50","225,000.00"
"Protected Agriculture","Polytunnel","Ragala 1 Manthreete 1 Senarathpura 2 Samagipura 1 Pandithaya 1","6","700,000.00","4,200,000.00","0.50","2,100,000.00"
"Value added products","Bee keeping (Box 4000/=  bees)","Ragala 5 Manthreete 5 Senarathpura 5 Samagipura 5 Pandithaya Kumbura 5 St. Leonard 3","28","8,000.00","224,000.00","0.75","168,000.00"
"Total Cost",,,,,"10,388,000.00",,"5,506,000.00"
