"Table 6.1: Key activties proposed for soil and water conservation in MWS-024","","","","","","","","","","","","",""
"No","GN Division No","GN  Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","526","Harasbedda South","1. Renovation of natural drains - Kele pihilla Kandura",,"Off","7.05168","80.87504","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Thewatte Kandura",,"Off","7.04942","80.87397","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Galdekapathana Meda Kandura",,"Off","7.04862","80.87314","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","350,000.00",,,,,,,,,,,,
"2","526A","Palalpathana","1. Renovation of natural drains - Palalpathana - Middle of Village Canal",,"Off","7.037787","80.857833","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Diyanilla - Middle of Village Canal",,"Off","7.03686","80.861200","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Darapanahela- Middle of Village Canal",,"Off","7.043572","80.868195","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Ampitigoda  (40˚ - 50˚)","Landslide","On","7.039845","80.864726","8 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Establishing a new Box Culvert","Landslide","On","7.036235","80.86057","4.8 m x 2.0 m x 1.5 m","Box Culvert","5000.00 m-3","72,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Palalpathana (50˚ - 60˚)",,"On","7.03981","80.860798","7 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","1,750,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Diyanilla  (60˚ - 70˚)",,"On","7.037912","80.85917","6.5 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","1,625,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Darapanawela  (50˚ - 60˚)",,"On","7.043572","80.868515","8 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","8,047,000.00",,,,,,,,,,,,
"3","526B","Harasbedda North","1. Soil conservation practices - Harasbedda  (50˚ - 60˚)",,"On","7.060793","80.883113","4 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","1,000,000.00",,,,,,,,,,,,
"4","526C","Morabedda","1. Renovation of natural drains - Nelugaha Kandura",,"Off","7.042426","80.878743","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Nelugaha (60˚ - 70˚)",,"On","7.046124","80.883391","12 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Morabadda (60˚ - 70˚)",,"On","7.056636","80.885484","1 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Morabadda (60˚ - 70˚)",,"On","7.058664","80.884423","1.25 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","312,500.00","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Kandagala (60˚ - 70˚)",,"On","7.062584","80.887149","2 ha","Live fencing/SALT and /or Stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","4,362,500.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"13,759,500.00",,
