"Table 6.22: Brief description of legal provisions","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,"N or X","E or Y",,,,,
"1","526","Harasbedda South","No special issues reported",,,,,,,,,,
"2","526A","Palalpathana","Improper disposal of domestic waste - Palalpathana",,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"3","526B","Harasbedda North","Improper disposal of domestic waste - Harasbedda North",,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"4","526C","Morabedda","No special issues reported",,,,,,,,,,
"Grand Total","100,000.00",,,,,,,,,,,,
