"Table 6.5: Salient features of minor tanks in MWS-024 (Diyanilla Pond and Koodalu Wewa)","",""
"Tank Name","Garandi Wewa","St  Theresa Wewa"
"GN","526A Palalpathana","526B Hassabedda North"
"MWS","MWS-024","MWS-024"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction",,
"Location (Lat)","7.046157 N","7.044972 N"
"Location (Lon)","80.870558 E","80.874923 E"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.42","0.24"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","Yes","Yes"
"Reservations are marked or not","Yes","Yes"
"Bund","Earthen","Earthen"
"Bund Length (m)","95","45"
"Top width (m)","3.5","3.0"
"Visible bund height (m)","2.5","5.0"
"US & DS slopes (h/b)",,"1 on 2"
"Availability of rip rap","No","No"
"Station (km+m)","No spill","0+15"
"Type",,"Morning glory"
"Length (m)",,"0.9 m pipe"
"Observed Afflux (m)",,"0.15"
"Duration of spilling (days)",,
"No of Sluices (nos)","No","1"
"Station/s (km+m)",,"0+15"
"Type/s",,
"Barrel size/s (mm)",,
"command area of the sluice (ha)",,"8"
"Rectification Details","Raise and rehabilitate the bund, Construct new HW type sluice and new CO spill","Desilt and repair the bund"
