"Table 6.6: Estimate for rehabilitation of Garandii Wewa in Palalpathana GND (526A)","",""
"Tank Name","Diyanilla Pond","Kuundalu Wewa"
"GN","526B Hassabedda North","Manthreethenna"
"MWS","MWS-024","MWS-023"
"DS","Walapane","Walapne"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction",,
"Location (Lat)","7.036835 N","7.03726"
"Location (Lon)","80.87372 E","80.88071"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.03","1.3"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","Yes",
"Reservations are marked or not","No",
"Bund","Earthen","Earthen"
"Bund Length (m)","24","137"
"Top width (m)","1","3"
"Visible bund height (m)","1.5","5"
"US & DS slopes (h/b)","1 on 1","1 on 2"
"Availability of rip rap","No","No"
"Station (km+m)","No spill",
"Type",,
"Length (m)",,"1.6"
"Observed Afflux (m)",,
"Duration of spilling (days)",,
"No of Sluices (nos)","No sluice",
"Station/s (km+m)",,
"Type/s",,"HW"
"Barrel size/s (mm)",,
"command area of the sluice (ha)",,
"Rectification Details","No rehabilitation proposed","Rehabilitation of tank bund, Reconstruction of head wall type new sluice. Desilting of tank bed and Inland fish farming, It is a work to be done   with the consent of Estate Authority."
