"Table 6.7: Estimate for rehabilitation of St. Theresa Wewa in Hassabedda GND (526B)","","",""
"SI","Description","Location","Amount  LKR"
"1","Raising (by 0.45m) & improvements to the bund",,
"1.1","Cutting trench/ canal by Excavator (120) and disposing earth beside","Tank bund","79,344.00"
"1.2","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225) mm layers, watering, compacting and trimming as per instructions (haulage up to 01 km) -for bund raising and US filling","Tank bund","590,907.00"
"1.3","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225) mm layers, watering, compacting and trimming as per instructions (haulage up to 01 km)","Tank bund","245,081.00"
"1.4","Turfing to new earth including cutting, laying, pegging and watering","Tank bund","106,238.00"
"2","Gravelling the bund road",,
"2.1","Cutting and loading Earth/Gravel by machinery. (Excavator 120)","Bund road","23,142.00"
"2.2","Earth transport up to 1km.","Bund road","6,517.00"
"2.3","Compaction by Roller (8-10) ton up to 2000m3 using vibrator machine.","Bund road","2,294.00"
"3","Construction of new HW type Sluice","Tank bund","750,000.00"
"4","Construction of new CO type Spill","Tank bund","750,000.00"
"5","Soil Conservation",,
"5.1","Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","Tank reservation","106,800.00"
"6","Miscellaneous",,"4,677.00"
,"Total",,"2,665,000.00"
