"Table 6.8: Estimate for rehabilitation of Koodalu Wewa in Manthreethenna GND (529)","","",""
"SI","Description","Location","Amount  LKR"
"1","Desilting of tank beds including removing of water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area","Tank bed","429,120.00"
"2","Rehabilitating the bund",,
"2.1","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225) mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -Filling potholes, depressions & eroded sections","Tank bund","422,431.20"
"2.1","Turfing to new earth including cutting, laying, pegging and watering","Tank bund","104,445.00"
"3","Gravelling the bund road",,
"3.1","Cutting and loading Earth/Gravel by machinery. (Excavator 120)","Tank bund","9,396.00"
"3.2","Earth transport up to 1km.","Tank bund","2,646.00"
"3.3","Compaction by Roller (8-10) ton up to 2000m3 using vibrator machine.","Tank bund","931.50"
"4","Soil Conservation",,
"4.1","Vegetative cover improving with Areca nut seedling 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","Reservation","106,800.00"
"5","Miscellaneous",,"4,230.30"
,"Total",,"1,080,000.00"
