"Table 6.1: Key activities proposed for soil and water conservation in MWS-025","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","504","Wetakepatha","1. Renovation of natural drains - Mahapihilla Kandura",,"Off","7.08271","80.80379","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Establishing a side/retaining wall",,"Off","7.08271","80.80379","110 x 0.3 m x 1.5 m","Retaining wall","2,000.00 m-3","99,000.00","Labor and other basic services by the Local community","0.25 Years"
,,,"3. Establishing a side/retaining wall",,"Off","7.08080","80.80415","50 x 0.3 m x 1.5 m","Retaining wall","2,000.00 m-3","45,000.00","Labor and other basic services by the Local community","0.25 Years"
"Sub Total","444,000.00",,,,,,,,,,,,
"2","504C","Alakolawewa","1. Renovation of natural drains - Kurundu Oya",,"Off","7.07283","80.813972","2 km","Clearing and planting some trees along the banks and other conservation practices",,"200,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Udawewathenna  (50˚ - 60˚)",,"On","7.076037","80.806467","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","312,500.00","Labor and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Nilgala Bend (wanguwa) (50˚ - 60˚)",,"On","7.075983","80.807104","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labor and other basic services by the Local community","0.25 Years"
"Sub Total","762,500.00",,,,,,,,,,,,
"3","505","Napatawela","1. Renovation of natural drains - Gallinda Kandura",,"Off","7.0962602","80.803291","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"250,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Goraka Maditta Kandura 1",,"Off","7.09344","80.803954","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Goraka Maditta Kandura 2",,"Off","7.093644","80.804008","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Devale Kandura 1",,"Off","7.096433","80.803774","800 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"80,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Devale Kandura 2",,"Off","7.096874","80.804158","500 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Soil conservation practices - Pallegammadda (Near Gamini's House)  (50˚ - 60˚)",,"On","7.090934","80.802199","1 ha","Live fencing/SALT and/or Stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labor and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Morapathana (50˚ - 60˚)",,"On","7.094329","80.803875","32 ha","Live fencing/SALT and/or Stone terracing/lock and spills, as applied","250.00 m-1","8,000,000.00","Labor and other basic services by the Local community","1.5 Years"
"Sub Total","8,830,000.00",,,,,,,,,,,,
