"Table 6.21: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Location","N","E","Observation","Description","Amount  Rs"
"504","Wetakepatha","7.07966","80.80464","5.0m long water tank (L shape ) is constructed for bathing, The plaster of the existing wall has been damaged. A tank has been constructed for drinking water. The constructed tank is in dilapidated condition. Funds have been allocated from another project to rebuild it. The distribution pipeline needs to be streamlined.","1/2\" thk rough plastering in 1: 3 cement mortar1:3:6(1 1/2\") Cement concrete, hand mixing and placingProviding PVC pipes, pipe joints, etc.. to convey water from the distribution tank Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","61,040.75"
"505","Gorakamaditta","7.099538","80.80977","About 14 families get water for drinking and other domestic use. A well is constructed using 600mm Ø concrete pipe (Hume pipe) and cover slab is also placed.","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working orderEarth excavation to deepen well (Ordinary soil)Removing silt from well depth up to 9\" and well clearing Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","728,890.00"
"505","Morapathana","7.096468","80.804658","Located in small forest, Currently there is a small water hole, About 8 families get water for drinking and other domestic use. A water collection tank should be constructed at the location of the spring and additional water storage tank also should be constructed and water should be distributed through it.","Construction of Concrete water collection tank of 20 cum - size internal 3mx3mx2.5Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,111,750.00"
"505","Gallinda","7.09264","80.803917","Spring located near the Gallinda Stream, About 15 families get water for drinking and other domestic use. A water storage tank should be constructed and the water project regularized.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","561,750.00"
"505","Maditta","7.090738","80.801705","A spring located on a private paddy field. A tank is constructed and spring water is collected, The project works by pumping water using a water pump.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","50,200.00"
"505A","Kahatagahalanda Paddy Field","7.091006","80.800364","A water storage tank 3.0m long, 2.4m wide and 2.0m high has been constructed. The water collected that tank from the Vaduva Canal and distributed to about 60 families without any purification.","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceConstruction of a water purification system","41,778.00"
"505B","Gorakamaditta","7.100189","80.810667","About 22 families get water for drinking and other domestic use.  Spring located in government reserve. Recently, the government has allocated funds and developed it systematically.","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceWater meters need to be installed","41,778.00"
"505C","Kalugalgoda","7.090733","80.823842","A tank is constructed at the location of the spring to conserve spring and collect the water and water is collected and distributed from the tank at the location of the spring to the water storage tank. About 50 families getting water, The spring is located on private land.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","50,200.00"
"505C","Diyamulliya","7.089167","80.81451","At the place where the spring is located, a tank is constructed and water is collected for bathing","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","77,200.00"
"505D","Kiravana Ella","7.1087","80.80744","A water storage tank 2.6m long, 1.8m wide and 1.2m high is constructed of Rubble masonry but it is in dilapidated condition, About 30 families get water for drinking.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","550,000.00"
"505E","At the foot of the Reserve - Ulmolliya","7.10143","80.804762","A small tank is constructed to the location of the spring and water collected in it is distributed. All three projects operate from the same water source.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5 - Koswatta","1,100,000.00"
