"Table 6.46: Livelihood challenges and community expectations","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programs","Ukuthule,
Napatawela","4","20,000","80,000","2024 and 2025"
"Establish forest protection action groups (With fire protection items)","Ukuthule,
Napatawela","2","25,000","50,000","2025"
"Maintain forest boundaries","Alma forest","850 Boundary posts/
(30 Km)","195","331,500","2025 and 2028"
,"Ukuthule forest","122 Boundary posts/
(2.7 Km)","190","46,360","2025 and 2028"
"Erect display boards","Ukuthule,
Napatawela","4 Boards","20,000","80,000","2025"
"Distribute energy-efficient stows","Ukuthule,
Napatawela","100 units","500","50,000","2025"
"Establish green belts and hedges (with Hana)","Ukuthule forest","7 km","125,000","875,000","2025"
"Maintenance of green belts and hedges (with Hana)","Ukuthule forest","7 km","90,000
(times)","3,150,000","2026 - 2030"
"Forest restoration","Ukuthule forest","5 ha","300,000","1,500,000","2026 - 2030"
,"Gorakagahamaditta forest","4 ha","300,000","1,200,000","2026-2030"
"Reopening fire belt and plant Hana","Gorakagahamaditta forest","2 Km","125,000","250,000","2026"
"Maintenance of live fire belt with Hana","Gorakagahamaditta forest","2 km","90,000
(5 times)","900,000","2026-2030"
"Maintenance of fire belt","Landupita plantations","2 km","90,000
(5 times)","900,000","2026-2030"
"Enrichment Planting","Dibba’d, Rahanahinna Reserve (Alma) (7.087333,80.825512)","6 ha","250,000","1,500,000","2026-2030"
"Headwater point conservation (Tree planting)","Ul Mulliya headwater location (7.10143, 80.804762)","400 Plants","200","80,000","2026"
"Headwater point conservation Maintenance of trees planted)","Ul Mulliya headwater location","400 Plants","50
(4 years)","80,000","2027-2031"
"Enrichment planting","Rankiriya Kandura
(7.107234,80.824472)","0.5 ha","250,000","125,000","2026-2030"
,"Nelligahamua reserve
(7.107234,80.824472)","0.5 ha","250,000","125,000","2026-2030"
,"Alawatte Upper side Spring","0.75 ha","250,000","187,000","2026-2030"
"Total","11,509,860",,,,
