"Table 6.49: Potential value-added production","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"505","Napatawela","2","2","1","2","1","2"
"505E","Wetekegama","1","2","1","1.5","1","2"
"505B","Ambagaspitiya","1.5","2.5","1","2","1","2"
"507B","Yatiwella","1","1.5","1","2","1","1.5"
"505A","Padiyapelella","1","2","1","2","0.5","1"
"506A","Unagolla","2","2.5","1.5","2","1","2"
"504","Wetakepatha","1","2","1.5","2","0.5","1"
"506","Munwatta","1.5","2","1","1.5","1","1"
"505D","Landupita","1","2","1","1.5","0.5","1"
"505C","Galabada","1.5","2","1","2","1","1.5"
"507","Ukuthule","1","2","1","1.5","1","1"
"507A","Ukuthule East","1","1.5","1","1","0.5","1"
,"Total","15.5","24","13","21","10","17"
