"Table 6.7: Estimate for rehabilitation of Badulla Wewa in Napatha Wewa GND (505)","",""
"Name of the Tank","Metihakke wewa","Kadiga Madiththa wewa"
"GN","Galabada","Munawaththa"
"MWS","MWS-025","MWS-025"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction",,"`"
"Location (Lat)","7.095250","7.112050"
"Location (Lon)","80.818261","80.810160"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.012","0.17"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","Yes","Yes"
"Reservations are marked or not","Yes","Yes"
"Bund","Concrete","Earthen"
"Bund Length (m)","6","34"
"Top width (m)","0.6","4"
"Visible bund height (m)","1","3"
"US & DS slopes (h/b)",,"1 on 2"
"Availability of rip rap",,"US Toe wall"
"Spillway","No spill",
"Station (km+m)",,"LB end"
"Type",,"CO"
"Length (m)",,"0.6"
"Observed Afflux (m)",,"0.3"
"Duration of spilling (days)",,
"No of Sluices (nos)","No sluice","1"
"Station/s (km+m)",,"LB end"
"Type/s",,"HW"
"Barrel size/s (mm)",,"225"
"command area of the sluice (ha)",,"24"
"Rectification Details","Construction of 20m long 1.2 m high concrete wall, Construction of HW sluice and CO spill","Desilt, Reconstruct the sluice"
