"Table 6.8: Estimate for rehabilitation of Metihakka Wewa in Galabada GND (505C)","","",""
"Item","Work Description","Location","Amount  LKR"
"1","Desilting tank bed","Tank bed",
,"Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 20% of the water spread area",,"894,000.00"
"2","Repairs to Rip Rap","Tank bund",
,"Placing Rip-Rap 12\" thick using 9\" – 12\"  rubble -allow 10% of total Rip Rap area",,"371,514.00"
"3","Repairs to the Sluice","Tank bund","250,000.00"
"4","Repairs to the Spill","Tank bund","250,000.00"
"5","Soil Conservation","Reservation",
,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"6","Miscellaneous",,"2,486.00"
,"Total",,"2,035,000.00"
