"Table 6.1: Key activities proposed for soil and water conservation in MWS-026","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","515","Batagolla","1. Renovation of natural drains - Kurundu Oya",,"Off","7.110978","80.867149","3 km","Clearing and planting some trees (Bamboo, kumbuk tree and Epala) along the banks and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Gallindayagala Kandura",,"Off","7.112428","80.869605","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Batagolla (50˚ - 60˚)",,"On","7.112269","80.869644","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Batagolla (70˚ - 80˚)",,"On","7.111532","80.867758","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Soil conservation practices - Batagolla (40˚ - 60˚)",,"On","7.111453","80.867390","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Soil conservation practices - Batagolla (60˚ - 70˚)",,"On","7.114208","80.871793","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","6,950,000.00",,,,,,,,,,,,
"2","504E","Kurunduoya","1. Renovation of natural drains - Rilamulla Canal",,"Off","7.07556","80.84732","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Charliwely Canal",,"Off","7.07933","80.829680","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"20,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Kurundu Oya Kandura",,"Off","7.08917","80.829320","250 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"25,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Alma Gremond Canal",,"Off","7.08615","80.830270","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Soil conservation practices - Kurunduoya (Gardens)  (30˚ - 35˚)",,"On",,,"16 ha","Stone terracing/lock and spills and/or Live fencing/SALT, as applied","400.00 m-1","6,400,000.00","Labour and other basic services by the Local community","1 Year"
,,,"6. Soil conservation practices - Kurunduoya (Public Places) (30˚ - 35˚)",,"On",,,"1.25 ha","Stone terracing/lock and spills and/or Live fencing/SALT, as applied","400.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","7,245,000.00",,,,,,,,,,,,
"3","514B","Kumbalgamuwa East","1. Renovation of natural drains - Belek Pihilla Kandura",,"Off","7.109671","80.857688","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Aliya wetuna Kandura",,"Off","7.105606","80.857421","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Kumbalgamuwa School Lane  (50˚ - 60˚)",,"On","7.116944     7.116363","80.856189      80.856070","4 ha","Stone terracing","400.00 m-1","1,600,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Chena cultivated Lands (50˚ - 60˚)",,"On","7.113713","80.85636","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Pepper Cultivated Lands (40˚ - 50˚)",,"On","7.107793","80.853849","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
