"Table 6.14: Estimates for Regularization of Community in MWS-026","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"504E","Near the Rilamulla School","7.07796","80.84","25 families use the water for drinking, A water storage tank has been constructed.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 2.1m, top width 0.25m, 0.70m high steps x 03, each of 0.15m step width & bottom width 0.70m)Place protective net over existing storage tankVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","275,700.00"
"504E","Charliwely Spring","7.07933","80.829968","25 families use the water for drinking","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePlace protective net over existing storage tank","576,750.00"
"504E","Mahawatta Spring - 1","7.08712","80.82464","20 families use the water for drinking and bathing","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenancePlace protective net over existing storage tank","576,750.00"
"504E","Mahawatta Spring - 2","7.08732","80.82358","A water storage tank has been constructed with a 2.6m long, 2.5m wide and 1.5m high. Water seeps through a DS side wall of the existing tank.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningPlace protective net over existing storage tankVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","55,041.56"
"504E","Rilamulla Block 6,7,& 8 Spring","7.07688","80.8452","A water storage tank has been constructed with a 4.0m long, 2.0m wide and 0.9m high, The drinking water provides to 8 families living in line houses,","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningPlace protective net over existing storage tank Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProviding PVC pipes, pipe joints, etc.. to convey water","66,148.22"
"504E","Charliwely Block No. 3 Spring","7.07431","80.82828","A water storage tank has been constructed, Currently 10 families use the water for drinking, Drinking water should be provided for 25 additional families.","Place protective net over existing storage tank Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProviding PVC pipes, pipe joints, etc.. to convey water","41,750.00"
"514C","Spring near the Thannehenwela Nursery (Near the Mr. W.M. Punchi Banda's House)","7.10508","80.86","About 7 families get drinking water, Drinking water is obtained informally.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Place protective net over existing storage tankVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","576,750.00"
"514C","The Water Catchment area above Kurundu Oya Bridge","7.09634","80.85577","Large trees are found everywhere.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","88,650.00"
"514C","The Water Catchment area above Mulhalkelegama Kurundu Oya","7.09865","80.85592","Large trees are found everywhere.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","100,400.00"
"514D","Galapitiyaya Spring","7.117727","80.86099","About 10 families get drinking water, Drinking water is obtained informally.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Place protective net over existing storage tankVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","576,750.00"
"514D","Bogahathenna Spring","7.105056","80.859987","About 7 families get drinking water informally.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Place protective net over existing storage tank Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","576,750.00"
"514D","Miniran Pathala Spring","7.10288","80.861705","Located in Private land, A well that is currently not use. Before developing this well, it needs to get permission to use it as a public well","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order1:3:6 (1 1/2\") Cement concrete, machine mixing and placingVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","166,119.60"
"514D","Galapitiyaya Spring","7.117727","80.86099","Water spring should be conserved.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","65,150.00"
"514F","Hodupollangahayata Spring","7.118552","80.85682","A Water storage tank (3.0m x 1.2 x 0.7m)  has been  constructed. About 4 families get drinking water. Located near Nayawatta kandura.","Place protective net over existing storage tank","15,000.00"
"514F","Ritigahamulla Spring","7.121536","80.859705","About 40 families get drinking water, A Water storage tank (1.6m x 1.6 x 0.9m)  has been  constructed but it is not enough to provide drinking water for 40 families.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Implementation of a water purification system","550,000.00"
