"Table 6.40: Livelihood challenges and community expectations","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"515C","Kandegama","2","1.5","1","1.5","1","2"
"515B","Walapane","1","2","2","1.5","1","2"
"515D","Wathumulla","1.5","2.5","1","2","1","2"
"514C","Mulhalkele","2","1.5","1","2","1","1.5"
"514F","Deliwela South","1","2","1","2","0.5","1"
"514B","Kumbalgamuwa East","2","2.5","1.5","2","1","2"
"514D","Thennehenwala","1","2","1.5","2","0.5","1"
"504E","Kurunduoya","1.5","2","1","1.5","1","1"
"515A","Manelwala","2","2","1.5","1.5","0.5","1"
"515","Batagolla","1.5","2","1","2","1","1.5"
,"Total","15.5","20","12.5","18","8.5","15"
