"Table 6.47: Contents of the agriculture productivity improvement training","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  LKR","Contribution     from line agency   GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Kandegama 200 Walapane 150 Wathumulla 100 Mulhalkele 100 Deliwela South 200 Kumbalgamuwa East 150, Thennehenwala 100, Kurunduoya 150, Manelwala 100, Batagolla 150","1,400","80.00","112,000.00","0.50","56,000.00"
,"Electric fence","Kandegama 2 Walapane 1 Wathumulla 2 Mulhalkele 2 Deliwela South 1 Kumbalgamuwa East 2, Thennehenwala 2, Kurunduoya 2 Manelwala 3 Batagolla 2","19","36,000.00","684,000.00","0.50","342,000.00"
"Vegetable","Capsicum","Kandegama 2 Walapane 4 Wathumulla 4 Mulhalkele 3 Deliwela South 4 Kumbalgamuwa East 5, Thennehenwala 2, Kurunduoya 3 Manelwala 4 Batagolla 5","36","40/perches unit - 20g. 3,000.00","108,000.00","1.00","108,000.00"
,"Cabbage","Kandegama 3 Walapane 3 Wathumulla 5 Deliwela South 3 Kumbalgamuwa East 2 Thennehenwala 4 Manelwala 4 Batagolla 3","26","40/perches unit - 20g. 6,000.00","26.00","1.00","26.00"
,"Beans","Kandegama 5 Walapane 3 Wathumulla 5 Deliwela South 2 Kumbalgamuwa East 2 Thennehenwala 4 Manelwala 4 Batagolla 4","29","40/perches unit - 1500g. 4,500.00","130,500.00","1.00","130,500.00"
"Fruits","Banana","Manelwala- 100 Walapane- 50, Kumbalgamuwa East- 100, Wathumulla-100","350","120.00","42,000.00","1.00","42,000.00"
,"Avocado","Batagolla- 100, Walapane- 20, Kumbalgamuwa East- 150,","270","200.00","54,000.00","1.00","54,000.00"
,"Mango","Manelwala- 75, Walapane- 40, Kumbalgamuwa East- 60, Wathumulla-50","225","300.00","67,500.00","1.00","67,500.00"
"Export Crops","Coffee","Kandegama 300 Walapane 400 Wathumulla 300 Mulhalkele 300 Deliwela South 400 Kumbalgamuwa East 350, Thennehenwala 250, Kurunduoya 350 Manelwala 500 Batagolla 350","3,500","30.00","105,000.00","1.00","105,000.00"
,"Pepper","Kandegama 500 Walapane 400 Wathumulla 300 Mulhalkele 400 Deliwela South 400 Kumbalgamuwa East 350, Thennehenwala 450, Kurunduoya, 250 Manelwala 350, Batagolla 300","3,700","40.00","148,000.00","1.00","148,000.00"
,"Ginger","Manelwala- 200, Walapane- 300, Kumbalgamuwa East-400, Wathumulla-300","1,200","18.00","21,600.00","1.00","21,600.00"
"Livestock","No of cow","Kumbalgamuwa East-3, Batagolla-2, Manelwala-2, Kandegama-3, Wathumulla-3","13","250,000.00","3,250,000.00","0.50","1,625,000.00"
,"No of goat","Kumbalgamuwa East-5, Kandegama- 10","15","40,000.00","600,000.00","0.50","300,000.00"
,"No of chicks","Kumbalgamuwa East-75, Batagolla-30, Manelwala-80, Kandegama-70, Wathumulla-50","305","1,500.00","457,500.00","0.50","228,750.00"
,"No of sheds - cow","Kumbalgamuwa East-3, Batagolla-2, Manelwala-4,","9","300,000.00","2,700,000.00","0.50","1,350,000.00"
,"No of sheds - goat","Kumbalgamuwa East- 5","5","150,000.00","750,000.00","0.50","375,000.00"
"Protected Agriculture","Polytunnel","Batagolla-2, Manelwala-2","4","700,000.00","2,800,000.00","0.50","1,400,000.00"
"Value added products","Bee keeping (Box 4000/= bees)","Kumbalgamuwa East- 10, Batagolla- 15, Kandegama- 10, Wathumulla-10","45","8,000.00","360,000.00","0.75","270,000.00"
,"Black Pepper making machines (Balancing kit)","Kumbalgamuwa East- 5, Batagolla- 5, Kandegama- 5, Wathumulla-10","25","10,000.00","250,000.00","0.50","125,000.00"
,"White pepper production machines","Batagolla-1, Manelwala-2","3","55,000.00",,"0.50","-"
,"Animal feed machine","Gonangoda -1","1","150,000","300,000","50%","150,000"
"Total Cost",,"11,605,600.00",,"6,748,376.00",,,
