"Table 3.7: Occupational details of the community of MWS-027 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","X","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"516C","Werellapathana","36","43","218","17","22","11","51","1","381"
"516","Ketakandura","16","15","66","14","195","1","31","0","88"
"516D","Mahapathana","13","8","34","10","67","2","16","5","93"
"516A","Kendagolla","3","6","15","0","44","0","5","0","37"
"516B","Egodakanda","47","44","165","2","43","0","30","0","236"
"515E","Maha Uva","25","8","525","15","175","30","80","467","85"
,"Total","140","124","1023","58","546","44","213","473","920"
