"Table 6.11: Tentative estimate for Maha Kendagaha Madiththa Wewa in Werellapathana GND","",""
"Tank Name","Dam Division Lake","Katukithula wewa"
"GN","Maha Uva","Maha Uva"
"MWS","MWS-027","MWS-027"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","Tea Estate","Tea Estate"
"Year of Construction Kov",,
"Location (Lat)","7.076604","7.08122"
"Location (Lon)","80.86019","80.86323"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.9","0.06"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","No","No"
"Reservations are marked or not","No","No"
"Bund","Earthen","Concrete"
"Bund Length (m)","295","40"
"Top width (m)","3.5","0.3"
"Visible bund height (m)","6","2.1"
"US & DS slopes (h/b)","1 on 2",
"Availability of rip rap",,
"Spillway",,
"Station (km+m)","0+00","0+35"
"Type","CO","CO"
"Length (m)","8","2.6"
"Observed Afflux (m)","0.3","0.3"
"Duration of spilling (days)",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)","0+245","0+35"
"Type/s","HW","HW"
"Barrel size/s (mm)","225","225"
"command area of the sluice (ha)",,
"Rectification Details","Desilt and remove the water weeds, Repair the sluice and spill","Desilt and remove the water weeds, Reconstruct the H/W type sluice"
