"Table 6.12: Tentative estimate for Kendagaha Madiththa Wewa in Werellapathana GND","",""
"Tank Name","Halmee wewa","Maha Kendagaha Madiththa wewa"
"GN","Werellapathana","Werellapathana"
"MWS","MWS-027","MWS-027"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction Kov",,
"Location (Lat)","7.068322","7.074675"
"Location (Lon)","80.88006","80.87957"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","1.75","0.35"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization","Rambuke FO",
"F.O. registration number",,
"Reservations are available or not","Yes","Yes"
"Reservations are marked or not","No","No"
"Bund","Earthen","Earthen"
"Bund Length (m)","95","52"
"Top width (m)","2","3"
"Visible bund height (m)","5","8"
"US & DS slopes (h/b)","1 on 1","1 on 1"
"Availability of rip rap",,"US toe wall"
"Spillway",,
"Station (km+m)","0+00","0+35"
"Type","CO","MG"
"Length (m)","4.8",
"Observed Afflux (m)","0.3","0.15"
"Duration of spilling (days)",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)","0+75","0+35"
"Type/s","HW","HW"
"Barrel size/s (mm)","225","225"
"command area of the sluice (ha)",,
"Rectification Details","Desilt, Repair the tank bund and sluice, Replace the sluice gate set, Plant 30 m wide tree belt","Desilt, Replace the sluice gate, Plaster the toe wall, Raise the bund by 600mm"
