"Table 6.14: Tentative estimate for Pambe Wewa in Werellapathana GND","",""
"Tank Name","Pambe wewa","Ala Pala wewa"
"GN","Werellapathana","Mahapathana"
"MWS","MWS-027","MWS-027"
"DS","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD"
"Year of Construction Kov",,
"Location (Lat)","7.073112","7.062957"
"Location (Lon)","80.88139","80.87552"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.2",
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)",,
"Farmer Organization","Rambuke FO",
"F.O. registration number",,
"Reservations are available or not",,
"Reservations are marked or not",,
"Bund",,
"Bund Length (m)","56",
"Top width (m)","5",
"Visible bund height (m)","3",
"US & DS slopes (h/b)",,
"Availability of rip rap",,
"Spillway",,
"Station (km+m)","0+40",
"Type","MG",
"Length (m)",,
"Observed Afflux (m)","0.15",
"Duration of spilling (days)",,
"No of Sluices (nos)","1",
"Station/s (km+m)","0+40",
"Type/s","HW",
"Barrel size/s (mm)","225",
"command area of the sluice (ha)",,
"Rectification Details","Desilting","No need to develop the tank"
