"Table 6.20: Unit rates of garbage traps and culverts","","","",""
"Description","Unit","Qty","Rate","Amount"
"Desilting tank bed",,,,
"Desilting of tank beds including removing of water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area","m3","240.0","596.00","143,040.00"
"Rehabilitating the bund",,,,
"Earth excavation from borrow area by Exacavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage upto 01 km) -Filling potholes, depressions & eroded sections","m3","102.8","1,272.00","130,761.60"
"Turfing to new earth including cutting, laying, pegging and watering","m2","72.0","422.00","30,384.00"
"Gravelling the bund road",,,,
"Cutting and loading Earth/Gravel by  machinery. (Excavator 120)","m3","8.0","696.00","5,568.00"
"Earth transport upto 1km.","m3","8.0","196.00","1,568.00"
"Compaction by Roller (8-10)ton up to 2000m3 using vibrator machine.","m3","8.0","69.00","552.00"
"Construction of new CO type Spill","Item","Allow","Sum","400,000.00"
"Soil Conservation",,,,
"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","500.0","534.00","267,000.00"
"Miscellaneous","Item","Allow","Sum","21,126.40"
"Total",,,,"1,000,000.00"
