"Table 6.29: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"515E","Dam Division - Spring - Filter Tank","7.075103","80.858677","A project implemented by EU-SRILANKA Development Cooperation, A small water storage tank has been built at the location of the spring, A filter tank has been formally constructed and  2 no's of PVC 5000 liter tank have been placed. The pipe system connecting these tanks has not been built. About 100 families currently obtain water from the tank built at the location of the spring.","Providing PVC pipes, pipe joints, etc.. to convey water between tanks","15,000.00"
"515E","Dam Division - Spring - Distribution Tank","7.077881","80.860101","A project implemented by EU-SRILANKA Development Cooperation, A small water storage tank has been built at the location of the spring, A filter tank has been formally constructed and  2 no's of PVC 5000 liter tank have been placed. The pipe system connecting these tanks has not been built. About 100 families currently obtain water from the tank built at the location of the spring.","Providing PVC pipes, pipe joints, etc.. to convey water between tanks","15,000.00"
"515E","Dam Division  No. 9 - Spring Stock Tank","7.06909","80.862054","A water storage tank 5.0m long, 3.0m wide, and 1.5m high has been constructed. The 50mm Ø pipeline system from the water storage tank to the distribution tank is in disrepair.","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining1:2:4 (3/4\") Cement concrete,hand mixing and placing - Construction of the cover plateProviding PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","82,268.35"
"515E","Dam Division  No. 9 - Distribution Tank","7.072778","80.861214","A water distribution tank 2.0m long, 1.8m wide, and 1.2m high has been constructed. Water is taken from this tank through 16 no's of 12mm Ø pipes  to the 16 houses.","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining1:2:4 (3/4\") Cement concrete,hand mixing and placing - Construction of the cover plateProviding PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","43,674.23"
"515E","Field No. 3 - Spring","7.065023","80.869084","Several springs are located in one place. Water is being collected from that location using pipes for the drinking water project.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Protective net over tank Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","615,200.00"
"515E","Field No 3 Proposed new Tank","7.064858","80.870381","It is proposed that a new water storage tank be constructed at this location.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500.00"
"515E","Field No 3 Distribution Tank 1","7.063861","80.871955","A water storage tank 3.0m long, 2.0m wide, and 1.5m high has been constructed. About 150 families taken water from this tank","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","29,340.00"
"515E","Field No 3 Distribution Tank 2","7.061679","80.871983","A water storage tank 3.0m long, 2.0m wide, and 1.5m high has been constructed. About 120 families taken water from this tank","1:2:4 (3/4\") Cement concrete,hand mixing and placing - Construction of the cover plateProviding PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","55,584.45"
"516","Watarakgoda Spring","7.098821","80.86953","A tank is built and it has no cover slab, The water flowing from the paddy fields is collected in a tank through a drain. People bath water also collected to the tank through this drain, Agro chemicals and other wastes are also collected in this tank, This water is not at all suitable for drinking, Located in paddy land belonging to another Division, Therefore, there is no scope for building and developing water treatment plant.","1:2:4 (3/4\") Cement concrete,hand mixing and placing1:2:4 (3/4\") Cement concrete,hand mixing and placing - Construction of the cover plateVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","40,809.70"
"516","Dimbulgahayata Spring","7.097876","80.870386","A tank is built and it has no cover slab, The water flowing from the paddy fields is collected in a tank through a drain. People bath water also collected to the tank through this drain, Agro chemicals and other wastes are also collected in this tank, This water is not at all suitable for drinking, Located in paddy land belonging to another Division, Therefore, there is no scope for building and developing water treatment plant.","1:2:4 (3/4\") Cement concrete,hand mixing and placingVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","35,039.80"
