"Table 6.31: Packaging and transport of agricultural produce","","","","","",""
"GND No","Description","N","E","Observation","Description 1","Amount  Rs"
"516","Narangaha Arawa Canal","7.096031","80.869992","Existing Earthen canal, The earthen canal should be concreted from place to place. Command area 15.0 acres","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","680,000.00"
,,,,,,
"516","Uda Niliwatta Canal","7.095204","80.870859","Existing Earthen canal, The earthen canal should be concreted from place to place. Command area 8.0 acres","Construction of 36 m long 0.50m x 0.40m trough with 6 m spans each rested on piers (for canal bed elevated 2 m in average above the existing GL)Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","2,010,000.00"
"516","Pahala Niliwatta Canal","7.100203","80.872883","Existing Earthen canal, The earthen canal should be concreted from place to place. Command area 38.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,980,000.00"
"516","Maha canal","7.105566","80.875535","The total length of the canal 2.0km, out of which 550m concreted. The 220m section of the existing canal should be removed and rebuilt, The earthen canal should be concreted from place to place. Command area 73.0 acres","Demolishing existing damaged structureCanals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRepairs to 12m long existing troughMiscellaneous","3,650,000.00"
,,,,,,
"516","Thanne Canal 1","7.10385","80.874099","Existing Earthen canal, A 15.0m long section of canal has landslided. Command area 8.0 acres","Construction of 18 m long 0.50m x 0.40m trough with 6 m spans each rested on piers (for canal bed elevated 2 m in average above the existing GL)Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,000,000.00"
"516","Thanne Canal 2","7.105771","80.874612","Existing Earthen canal, The earthen canal should be concreted from place to place. Command area 8.5 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","750,000.00"
"516","Diggala Canal","7.10374","80.87653","The total length of the canal 0.75km, Existing Earthen canal, The earthen canal should be concreted from place to place. Command area 15.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","750,000.00"
"516","Magan Ella Canal","7.107277","80.879578","The total length of the canal 1.5km, out of which 300m concreted. The 50m section of the existing canal should be removed and rebuilt, The earthen canal should be concreted from place to place. Command area 45.0 acres","Demolishing damaged structureCanals reservation protection by concrete lining  For  125mm thick , 0.4m  wide  and 0.5m high canal -single bankingCanals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingCanal reservation protection by concrete lining For 100mm thick , 0.4m  wide  and 0.3m high canal -single bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","2,290,000.00"
,,,,,,
"516","Unagolla Canal","7.106619","80.881281","The anicut is constructed of concrete and it is in good condition. The total length of the canal 1.2m, Existing Earthen canal, The earthen canal should be concreted from place to place. Command area 12.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceConstruction of 80 m long 0.50m x 0.40m trough with 6 m spans each rested on piers (for canal bed elevated 2 m in average above the existing GL)","5,125,000.00"
,,,,,,
"516","Warakagaha Anicut","7.104607","80.880806","Currently there is no properly prepared anicut. The water flowing from Magan canal is utilized.","Earth excavation in foundation (Medium soil)Erection of coffer dam, dismantling the same including dealing with waterPreparing rock surface before concretingSupplying and fixing T.S Dowels spliced and dove tailed with wedge at one end 5/8\" dia, 700mm long boring holes, 350mm depth in fixing1:3:6 (1 1/2\") Cement concrete, machine mixing and placing in weirPreparing, Fixing & dismantling Shuttering in 12 mm(1/2\") thk Plywood sheet and 2\"x2\" joists for concreting works in weirSupplying and fixing Anicut planks from special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar for 1200 x 900 x 11 Nos openingsConstruction of 1:3:6 (1 1/2\") ct concrete retaining wall as abutments (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)supplying & fixing   12\" dia. Cast iron gates & Hoist complete Dry Rubble pitching 9\" thk using (6\"-9\") rubble for DS erosion prone section (5mx12m) along the streamTiding up","2,000,000.00"
,,,,,,
