"Table 6.34: Vegetation types in the MWS-027","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","515E","Maha Uva","Potential to adding human waste to water - Dam Lower Division",,,"5",,,,,,,,
,,,"Potential to adding human waste to water - Dam Upper Division",,,"5",,,,,,,,
,,,"Potential to adding human waste to water - Industrial Division",,,"5",,,,,,,,
,,,"Potential to adding human waste to water No. 3 Division",,,"5",,,,,,,,
,,,"Potential to adding human waste to water - No. 4 Division",,,"5",,,,,,,,
,,,"Improper disposal of household waste - Maha Uva",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","516","Ketakandura","Improper disposal of household waste - Ketakandura",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","516A","Kendagolla","No special issues reported",,,,,,,,,,,
"4","516B","Egodakanda","Potential to adding human waste to water - Egodakanda",,,"4",,,,,,,,
,,,"Improper disposal of household waste - Egodakanda (Dumping of garbage in the reserve near Bandara Kade and Dumping of garbage in the canal near Maha Uva Colony)",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"5","516C","Werellapathana","Potential to adding human waste to water - Ilukpathana",,,"5",,,,,,,,
,,,"Potential to adding human waste to water - Werellapathana",,,"7",,,,,,,,
,,,"Improper disposal of household waste - Werellapathana",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","516D","Mahapathana","Potential to adding human waste to water - Mahapathana",,,"50",,,,,,,,
,,,,,,,,,,,,,,
"Grand Total","200,000.00",,,,,,,,,,,,,
