"Table 6.20: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Description","N","E","Observation","Description 1","Amount  Rs"
"506 B","Mahakumbure Canal","7.113056","80.828247","Existing Earthen canal, A 30.0m section of canal is in a sinking state, Command area 15.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","705,000.00"
"506 B","Madiriya Anicut and Canal","7.113639","80.82806","Existing Earthen canal, A anicut of Construct stone and earth, Command area 35.0 acres","Construction of 10.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsCanals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,890,000.00"
,,,,,,
"506 B","Palle Aswadduma Anicut and Canal","7.118404","80.825288","A anicut of Construct stone and earth, Part of the existing canal has been concreted and balance part earthen canal, Command area 18.0 acres","Construction of 10.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsCanals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","955,000.00"
,,,,,,
"506 B","Gedarakumbura Canal","7.112693","80.827748","Existing Earthen canal, A 50.0m section of canal has been concreted, A side wall has been constructed in a 30.0m long section and water seeps from the bottom of it.Command area 15.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","895,000.00"
"506 B","Darada Ela","7.116244","80.826032","Part of the existing canal has been concreted and balance part earthen canal, A canal has been constructed in a 300.0m long section and water seeps from the bottom of it, Command area 5.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking1/2\" thk 1:3 cement motar plastering to prevent leakages in liningStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,150,000.00"
,,,,,,
"506 B","Valkaranda Ela","7.114301","80.825714","Existing Earthen canal, Command area 16.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","890,000.00"
,,,,,,
"506 B","Ulpathe Ela","7.118318","80.824723","Part of the existing canal has been concreted and balance part earthen canal, Command area 7.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance2.5m long canal over crossing with 0.30m Dia RCC Hume Pipes (for canal bed elevated 0.6m from the stream bed)Miscellaneous","395,000.00"
,,,,,,
"506 B","Maha Canal","7.113726","80.825251","The total length of the canal is 1000m, 62.0m section are concreted, Another 500m section should be concreted, The spill is broken, A wall should be constructed on RHS of the canal because a large flow of water comes into the canal during rainy season through liyanwela college, A spill should be constructed at that place.","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsConstruction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)2.5m long canal over crossing with 0.30m Dia RCC Hume Pipes (for canal bed elevated 0.6m from the stream bed)Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,840,000.00"
,,,,,,
"506 B","Maha Canal - Canal spill","7.113615","80.825365","The total length of the canal is 1000m, 62.0m section are concreted, Another 500m section should be concreted, The spill is broken, A wall should be constructed on RHS of the canal because a large flow of water comes into the canal during rainy season through liyanwela college, A spill should be constructed at that place.","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsConstruction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)2.5m long canal over crossing with 0.30m Dia RCC Hume Pipes (for canal bed elevated 0.6m from the stream bed)Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,500,000.00"
,,,,,,
"506 C","Diyanilla Canal","7.090347","80.829522","Part of the existing canal has been concreted and balance part earthen canal, Command area 9.0 acres (Vegetables Cultivation)","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRepairs to the existing canal liningMiscellaneous","500,000.00"
"506 C","Kalotuwawa Canal","7.09943","80.82662","Part of the existing canal has been concreted and balance part earthen canal, Command area 8.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","385,000.00"
"506 C","Ihala Kandekumbura Canal","7.10117","80.82651","The total length of the canal is 400m, 100.0m section are concreted, Another 300m section should be concreted, Command area 14.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","385,000.00"
"506 C","Patha Kandekumbura Canal","7.10236","80.82766","The total length of the canal is 400m, 50.0m section are concreted, Another 350m section should be concreted, Command area 5.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","260,000.00"
"506 D","Uguressagahayata Canal","7.101719","80.832174","The total length of canal is 750m. 350m of witch is concreted (W=0.45m , H=0.3m). The rest remains as an earthen canal. 25 Acres of lands is cultivated from this canal.",,
